gene_id	T4	T5	T6	T7	T8	T9
ENSDARG00000000001	330	356	352	362	333	407
ENSDARG00000000002	490	502	562	354	504	349
ENSDARG00000000018	3592	3544	3523	2808	2828	3085
ENSDARG00000000019	12171	9969	9979	27307	30977	20286
ENSDARG00000000068	433	420	368	359	241	415
ENSDARG00000000069	2462	2840	2828	2034	1777	2045
ENSDARG00000000086	3212	2637	2603	4643	5203	4331
ENSDARG00000000103	6719	6953	7061	5018	5106	4858
ENSDARG00000000142	181	155	152	130	148	195
ENSDARG00000000151	656	709	725	437	452	513
ENSDARG00000000161	173	196	223	231	317	231
ENSDARG00000000175	36	57	44	58	17	72
ENSDARG00000000183	1788	1821	1888	1844	2029	1758
ENSDARG00000000189	144	225	233	114	93	161
ENSDARG00000000212	1037	242	169	241	238	175
ENSDARG00000000229	1090	1293	1263	1044	833	1045
ENSDARG00000000241	699	790	759	457	382	656
ENSDARG00000000324	749	737	734	593	600	636
ENSDARG00000000349	2581	1501	1221	3656	3047	4842
ENSDARG00000000369	55	116	135	76	77	172
ENSDARG00000000370	171	242	264	135	136	160
ENSDARG00000000380	165	222	248	232	258	223
ENSDARG00000000394	6322	6548	6795	5202	5664	4920
ENSDARG00000000423	551	675	710	509	507	504
ENSDARG00000000442	779	864	849	671	599	831
ENSDARG00000000472	14	19	19	14	11	14
ENSDARG00000000476	1081	1083	1094	1069	1085	978
ENSDARG00000000489	5608	4734	4919	5286	6840	4829
ENSDARG00000000503	81	150	153	82	55	125
ENSDARG00000000516	9652	5971	5271	23937	22843	18740
ENSDARG00000000529	3628	2996	2995	5062	5795	4277
ENSDARG00000000540	940	1082	1085	859	767	852
ENSDARG00000000542	1739	1671	1600	1690	1514	1721
ENSDARG00000000551	521	616	638	320	321	399
ENSDARG00000000563	466	371	369	280	319	212
ENSDARG00000000567	953	1099	1096	895	806	1057
ENSDARG00000000568	2213	2454	2447	2005	1818	2010
ENSDARG00000000588	455	526	539	342	324	320
ENSDARG00000000606	13189	9557	8960	21064	22252	20463
ENSDARG00000000631	534	637	628	468	401	612
ENSDARG00000000638	5	34	47	10	11	203
ENSDARG00000000651	284	327	329	266	237	246
ENSDARG00000000656	52	234	249	283	99	327
ENSDARG00000000666	5073	5976	5925	4344	3794	5343
ENSDARG00000000690	486	520	526	329	327	362
ENSDARG00000000729	6860	6134	6273	6145	7099	5226
ENSDARG00000000730	594	536	490	684	555	697
ENSDARG00000000747	291	338	348	220	213	227
