gene_id	M1	M2	M3	M7	M8	M9
ENSDARG00000000001	139	104	133	166	116	124
ENSDARG00000000002	141	181	133	65	144	84
ENSDARG00000000018	478	463	459	529	541	556
ENSDARG00000000019	1000	837	883	866	843	883
ENSDARG00000000068	4802	4420	4318	3088	3525	3337
ENSDARG00000000069	13867	12806	13139	15843	13842	17233
ENSDARG00000000086	576	704	639	437	528	435
ENSDARG00000000103	1007	964	900	764	1080	801
ENSDARG00000000142	67	55	55	45	36	67
ENSDARG00000000151	536	616	573	649	794	629
ENSDARG00000000161	202	225	183	168	271	218
ENSDARG00000000175	100	150	121	101	182	92
ENSDARG00000000183	65	79	68	62	64	82
ENSDARG00000000189	626	548	563	480	531	471
ENSDARG00000000212	47048	45959	45460	65733	66282	69472
ENSDARG00000000229	246	272	247	256	285	296
ENSDARG00000000241	1124	1012	994	1120	931	1492
ENSDARG00000000324	294	306	337	312	280	232
ENSDARG00000000369	16	13	20	31	16	15
ENSDARG00000000370	44	35	37	13	19	10
ENSDARG00000000394	1263	1382	1391	1600	1515	1478
ENSDARG00000000423	175	165	173	217	185	220
ENSDARG00000000442	205	162	192	156	117	136
ENSDARG00000000460	44	48	59	130	69	91
ENSDARG00000000476	84	92	100	148	134	109
ENSDARG00000000489	674	813	838	1019	869	843
ENSDARG00000000503	72	61	71	59	37	56
ENSDARG00000000529	195	224	209	189	267	167
ENSDARG00000000540	334	271	287	350	353	355
ENSDARG00000000542	188	139	196	215	125	133
ENSDARG00000000551	18	75	48	18	15	20
ENSDARG00000000563	53	51	59	76	107	39
ENSDARG00000000567	169	160	160	158	181	151
ENSDARG00000000568	1563	1162	1271	1561	1632	1520
ENSDARG00000000588	177	218	194	185	205	206
ENSDARG00000000631	733	756	733	674	706	701
ENSDARG00000000651	82	75	112	155	59	82
ENSDARG00000000656	855	676	717	956	903	1039
ENSDARG00000000666	810	829	841	872	798	860
ENSDARG00000000690	42	15	19	31	33	38
ENSDARG00000000729	211	289	261	333	364	320
ENSDARG00000000730	648	736	748	537	481	478
ENSDARG00000000747	75	59	64	81	78	82
ENSDARG00000000760	57	40	48	55	48	45
ENSDARG00000000767	199	202	233	303	208	237
ENSDARG00000000779	891	779	902	1157	826	1016
ENSDARG00000000796	88	115	87	129	164	218
ENSDARG00000000804	320	326	346	405	394	333
ENSDARG00000000830	106	145	134	115	96	121
ENSDARG00000000837	936	871	944	786	692	701
ENSDARG00000000853	1674	1647	1633	1908	2023	1919
ENSDARG00000000857	830	1026	928	843	828	960
ENSDARG00000000861	2025	1917	1947	1685	1622	1734
ENSDARG00000000906	626	583	600	685	637	701
ENSDARG00000000935	140	173	153	128	131	152
ENSDARG00000000943	81	79	72	47	68	51
ENSDARG00000000966	3582	3550	3222	2365	2991	2833
ENSDARG00000001014	5226	5562	5097	3187	3750	3601
ENSDARG00000001015	554	715	629	597	647	671
ENSDARG00000001057	985	1040	1076	1181	1121	1031
ENSDARG00000001127	3	20	6	3	4	20
ENSDARG00000001129	914	788	820	864	783	940
ENSDARG00000001154	37	17	19	16	41	14
ENSDARG00000001162	2050	1649	1778	1994	2128	1857
ENSDARG00000001169	205	287	228	302	393	388
ENSDARG00000001210	115	163	151	169	140	174
ENSDARG00000001220	2279	2609	2220	1720	2252	2158
ENSDARG00000001234	353	363	330	254	350	275
ENSDARG00000001241	1727	1675	1565	1615	1926	1864
ENSDARG00000001244	9695	11451	9601	9046	13914	10386
ENSDARG00000001249	66	79	92	113	65	82
ENSDARG00000001303	1565	1612	1602	1931	1672	2102
