gene_id	K1	K2	K3	K4	K5	K6
ENSDARG00000000001	371	447	419	367	338	404
ENSDARG00000000002	518	358	445	230	259	346
ENSDARG00000000018	1405	1574	1498	3401	3147	3268
ENSDARG00000000019	4104	5806	4607	4901	5931	3541
ENSDARG00000000068	4766	3416	3760	385	395	256
ENSDARG00000000069	9939	9834	9741	1370	1649	1445
ENSDARG00000000086	557	861	696	3180	2689	2605
ENSDARG00000000103	3379	3174	3365	8197	7549	9396
ENSDARG00000000142	59	107	85	237	200	294
ENSDARG00000000151	1281	1278	1309	488	488	575
ENSDARG00000000161	71	89	82	211	215	240
ENSDARG00000000175	340	257	289	19	31	26
ENSDARG00000000183	288	435	358	1902	1782	1801
ENSDARG00000000189	802	947	907	169	194	243
ENSDARG00000000212	247	96	153	244	57	86
ENSDARG00000000229	847	925	932	913	918	1302
ENSDARG00000000241	3848	4143	3963	541	595	547
ENSDARG00000000324	952	1289	1143	1120	929	1123
ENSDARG00000000349	54	65	62	1202	734	1037
ENSDARG00000000369	3596	2000	2419	14	38	17
ENSDARG00000000370	186	194	203	760	692	1121
ENSDARG00000000380	77	103	94	243	237	337
ENSDARG00000000394	6775	5324	5960	6556	6126	6184
ENSDARG00000000423	452	424	451	606	584	735
ENSDARG00000000442	463	468	476	672	670	776
ENSDARG00000000460	140	87	103	1	6	3
ENSDARG00000000472	0	0	0	47	46	71
ENSDARG00000000476	320	338	335	1071	989	1121
ENSDARG00000000489	5738	5892	5617	3596	3574	2785
ENSDARG00000000503	101	112	112	174	196	265
ENSDARG00000000516	136	96	111	4199	3100	2844
ENSDARG00000000529	1038	1209	1124	2138	2071	2061
ENSDARG00000000540	1221	1163	1199	978	1013	1062
ENSDARG00000000542	509	597	548	1676	1540	1450
ENSDARG00000000551	41	48	45	911	875	872
ENSDARG00000000563	1806	576	1020	512	437	574
ENSDARG00000000567	415	502	474	1002	956	1219
ENSDARG00000000568	3394	2988	3262	1729	1654	2029
ENSDARG00000000588	581	861	724	535	564	605
ENSDARG00000000606	600	646	620	8953	7337	7228
ENSDARG00000000631	4736	4650	4664	522	571	541
ENSDARG00000000638	0	0	0	28	39	44
ENSDARG00000000651	147	75	102	364	355	335
ENSDARG00000000656	1167	1551	1435	128	217	298
ENSDARG00000000666	3636	3191	3481	2697	3151	3688
ENSDARG00000000690	524	763	654	559	529	622
ENSDARG00000000729	1628	1612	1683	2961	2886	3812
ENSDARG00000000730	1259	1208	1196	362	351	287
ENSDARG00000000747	151	149	154	335	315	386
ENSDARG00000000760	391	311	350	495	483	527
ENSDARG00000000767	10156	14826	11146	195	487	195
ENSDARG00000000779	2217	2104	2127	1816	1751	1601
ENSDARG00000000796	95	237	156	564	523	575
ENSDARG00000000804	207	94	141	41	24	33
ENSDARG00000000830	427	398	437	780	745	1139
ENSDARG00000000837	715	991	872	216	231	273
ENSDARG00000000853	6195	6089	6131	2418	2712	2639
ENSDARG00000000857	2744	2480	2534	1773	1777	1478
ENSDARG00000000861	5317	5493	5379	8459	7427	7280
ENSDARG00000000887	265	118	166	7466	7754	5813
ENSDARG00000000906	4463	5139	4638	540	550	423
ENSDARG00000000935	246	450	360	390	348	541
ENSDARG00000000943	279	291	278	3734	3604	3034
ENSDARG00000000966	7850	8321	8314	5412	4973	6081
ENSDARG00000001014	4393	6856	5785	1746	1795	2358
ENSDARG00000001015	1934	2328	2287	957	1001	1626
ENSDARG00000001057	2722	2202	2452	2687	2651	2817
ENSDARG00000001127	0	3	1	12	10	21
ENSDARG00000001129	1790	2729	2296	5177	4938	5950
ENSDARG00000001154	0	2	1	279	253	307
ENSDARG00000001162	6742	6378	6655	5702	5143	5877
ENSDARG00000001169	557	306	427	223	265	371
ENSDARG00000001210	710	500	575	1214	1291	1069
ENSDARG00000001220	5502	6575	6207	5180	4889	5933
