gene_id	T1B	T2B	T3	T4	T5	T6
ENSDARG00000000001	341	331	314	401	331	482
ENSDARG00000000002	320	302	313	480	500	527
ENSDARG00000000018	2427	2412	2393	2742	2656	2836
ENSDARG00000000019	6004	3910	6159	5390	7906	3413
ENSDARG00000000068	459	633	492	628	506	535
ENSDARG00000000069	3016	4376	3521	2719	3319	2820
ENSDARG00000000086	3695	1728	2817	2635	2033	2284
ENSDARG00000000103	15367	13221	12595	12199	7449	15799
ENSDARG00000000142	274	249	227	204	110	229
ENSDARG00000000151	626	481	561	699	671	804
ENSDARG00000000161	361	458	367	158	155	224
ENSDARG00000000175	25	53	32	69	83	85
ENSDARG00000000183	1596	2099	1669	1691	1545	1904
ENSDARG00000000189	369	493	374	241	254	445
ENSDARG00000000212	74	1019	147	1003	218	168
ENSDARG00000000229	1156	1241	1143	1061	1071	1354
ENSDARG00000000241	1139	1364	1178	984	946	1069
ENSDARG00000000324	1033	1167	937	925	595	1146
ENSDARG00000000349	957	1112	1039	1195	884	559
ENSDARG00000000369	19	19	29	14	100	20
ENSDARG00000000370	734	738	554	308	167	814
ENSDARG00000000380	194	161	169	167	167	304
ENSDARG00000000394	5632	6454	5687	5739	5438	6551
ENSDARG00000000423	586	555	556	535	564	753
ENSDARG00000000442	827	1115	880	836	806	962
ENSDARG00000000472	64	32	40	29	15	67
ENSDARG00000000476	867	941	851	960	851	1065
ENSDARG00000000489	3193	3972	3555	3919	4070	3126
ENSDARG00000000503	240	240	219	99	116	247
ENSDARG00000000516	3776	3366	4031	3589	3540	1731
ENSDARG00000000529	1987	2195	2112	2141	2127	1708
ENSDARG00000000540	1039	1238	1052	1009	973	1266
ENSDARG00000000542	1087	1368	1142	1551	1394	1498
ENSDARG00000000551	790	2150	968	708	577	1026
ENSDARG00000000563	722	791	637	588	307	585
ENSDARG00000000567	966	1028	955	816	831	1041
ENSDARG00000000568	2283	2091	2171	2346	2312	2704
ENSDARG00000000588	608	524	547	466	432	628
ENSDARG00000000606	7340	5887	7251	5504	5399	3625
ENSDARG00000000631	988	866	913	700	676	869
ENSDARG00000000638	44	8	29	6	33	63
ENSDARG00000000651	272	261	253	338	305	436
ENSDARG00000000656	308	710	418	57	198	311
ENSDARG00000000666	4449	5128	4737	5609	6503	6249
ENSDARG00000000690	449	695	468	631	491	783
ENSDARG00000000729	3322	3481	3539	4066	4560	3481
ENSDARG00000000730	1426	749	1138	914	704	734
ENSDARG00000000747	294	290	270	368	315	506
ENSDARG00000000760	393	521	404	599	488	640
ENSDARG00000000767	381	1042	706	485	1742	458
ENSDARG00000000779	1980	2076	1965	2068	1892	2082
ENSDARG00000000796	481	773	527	539	465	614
ENSDARG00000000804	158	31	79	106	39	86
ENSDARG00000000830	780	972	769	884	729	1135
ENSDARG00000000837	576	346	441	412	314	582
ENSDARG00000000853	3145	2813	3224	3164	4069	3184
ENSDARG00000000857	2007	1921	1950	2035	1840	1920
ENSDARG00000000861	9631	7029	7956	6909	4909	7670
ENSDARG00000000887	4374	4637	5017	5368	8194	4679
ENSDARG00000000906	517	764	615	586	647	468
ENSDARG00000000935	466	345	358	322	211	531
ENSDARG00000000943	3173	2786	3215	3472	3435	2353
ENSDARG00000000966	9315	6198	7662	5287	4303	6224
ENSDARG00000001014	5056	3932	3896	2395	1555	4283
ENSDARG00000001015	1768	1899	1676	1162	1076	1737
