gene_id	K1	K2	K3	K7	K8	K9
ENSDARG00000000001	339	419	386	407	372	433
ENSDARG00000000002	481	328	376	184	256	188
ENSDARG00000000018	1287	1434	1386	2211	2091	2389
ENSDARG00000000019	3778	5316	4115	11043	14753	8824
ENSDARG00000000068	4270	3059	3939	256	180	296
ENSDARG00000000069	9078	8995	9127	1138	1107	1180
ENSDARG00000000086	513	801	621	4239	4602	3822
ENSDARG00000000103	3105	2908	3045	5040	4426	4644
ENSDARG00000000142	54	98	78	166	149	231
ENSDARG00000000151	1174	1149	1199	273	261	324
ENSDARG00000000161	66	84	71	206	260	199
ENSDARG00000000175	300	222	330	33	10	43
ENSDARG00000000183	265	403	319	1590	1696	1476
ENSDARG00000000189	730	862	869	103	78	141
ENSDARG00000000212	227	73	141	34	19	29
ENSDARG00000000229	776	845	854	889	652	866
ENSDARG00000000241	3488	3818	3885	372	340	526
ENSDARG00000000324	872	1167	1048	607	495	618
ENSDARG00000000349	50	60	58	2958	2459	3847
ENSDARG00000000369	3223	1772	2532	16	25	44
ENSDARG00000000370	171	179	188	313	210	315
ENSDARG00000000380	71	94	82	210	191	194
ENSDARG00000000394	6215	4849	5433	3924	3981	3669
ENSDARG00000000423	416	393	405	474	450	451
ENSDARG00000000442	423	434	448	607	546	728
ENSDARG00000000460	129	81	89	7	10	3
ENSDARG00000000472	0	0	0	29	16	25
ENSDARG00000000476	294	310	301	877	809	784
ENSDARG00000000489	5284	5396	5007	2910	3950	2742
ENSDARG00000000503	92	101	113	98	53	141
ENSDARG00000000516	124	85	102	10368	9493	8603
ENSDARG00000000529	957	1089	990	2721	2902	2371
ENSDARG00000000540	1117	1066	1118	747	636	720
ENSDARG00000000542	465	546	515	1417	1243	1410
ENSDARG00000000551	38	46	42	450	450	515
ENSDARG00000000563	1663	532	910	322	310	228
ENSDARG00000000567	380	462	439	866	729	981
ENSDARG00000000568	3111	2724	2987	1445	1259	1442
ENSDARG00000000588	534	785	658	297	250	270
ENSDARG00000000606	550	594	563	15855	16681	15262
ENSDARG00000000631	4298	4252	4539	398	343	507
ENSDARG00000000638	0	0	0	10	11	189
ENSDARG00000000651	133	69	98	231	191	208
ENSDARG00000000656	1047	1402	1499	313	103	342
ENSDARG00000000666	3323	2929	3254	2831	2652	3520
ENSDARG00000000690	481	711	593	354	334	369
ENSDARG00000000729	1510	1453	1437	2889	3137	2576
ENSDARG00000000730	1143	1079	1159	371	304	389
ENSDARG00000000747	139	135	141	190	163	190
ENSDARG00000000760	361	284	312	297	384	344
ENSDARG00000000767	9232	13220	10713	125	221	220
ENSDARG00000000779	2026	1907	1986	1573	1400	1447
ENSDARG00000000796	88	215	133	398	353	275
