gene_id	T1B	T2B	T3	T7	T8	T9
ENSDARG00000000001	316	316	324	460	399	493
ENSDARG00000000002	313	292	290	340	520	331
ENSDARG00000000018	2503	2502	2566	2115	1945	2385
ENSDARG00000000019	6870	4233	5630	10592	13821	8837
ENSDARG00000000068	395	558	456	557	421	592
ENSDARG00000000069	2789	4015	3083	2253	2341	2181
ENSDARG00000000086	3776	1778	2988	3770	3855	3570
ENSDARG00000000103	13270	11889	12693	9986	9453	8604
ENSDARG00000000142	263	252	276	158	138	229
ENSDARG00000000151	594	462	557	476	494	542
ENSDARG00000000161	367	468	385	208	256	208
ENSDARG00000000175	20	44	29	125	46	135
ENSDARG00000000183	1586	2097	1704	1740	1810	1646
ENSDARG00000000189	316	439	368	209	170	265
ENSDARG00000000212	71	990	150	238	234	170
ENSDARG00000000229	1134	1236	1206	1033	757	1020
ENSDARG00000000241	985	1208	1092	688	646	913
ENSDARG00000000324	976	1147	1049	778	651	793
ENSDARG00000000349	1068	1244	1217	1624	1191	2387
ENSDARG00000000369	23	20	24	16	24	46
ENSDARG00000000370	669	729	730	278	177	295
ENSDARG00000000380	195	165	186	238	220	225
ENSDARG00000000394	5648	6502	5832	4687	4800	4428
ENSDARG00000000423	579	554	576	497	457	486
ENSDARG00000000442	780	1069	890	742	653	890
ENSDARG00000000472	56	30	49	34	18	29
ENSDARG00000000476	876	961	901	946	866	867
ENSDARG00000000489	3341	4064	3388	3485	4775	3317
ENSDARG00000000503	225	235	257	109	58	159
ENSDARG00000000516	4526	3901	4329	7914	7160	7164
ENSDARG00000000529	2185	2371	2190	2790	3030	2530
ENSDARG00000000540	997	1206	1071	942	802	906
ENSDARG00000000542	1078	1370	1183	1512	1289	1539
ENSDARG00000000551	721	2030	1011	464	426	539
ENSDARG00000000563	691	779	692	368	351	265
ENSDARG00000000567	973	1052	1046	774	616	920
ENSDARG00000000568	2179	2016	2148	2161	1955	2106
ENSDARG00000000588	597	524	580	356	302	326
ENSDARG00000000606	8645	6817	8230	8037	7427	8863
ENSDARG00000000631	883	794	890	652	575	795
ENSDARG00000000638	35	7	32	15	16	274
ENSDARG00000000651	257	250	256	326	276	289
ENSDARG00000000656	296	699	446	319	100	357
ENSDARG00000000666	4099	4750	4386	4910	4796	5807
ENSDARG00000000690	414	659	482	449	417	466
ENSDARG00000000729	3637	3726	3565	3383	3852	3085
ENSDARG00000000730	1215	648	1004	1120	1070	1038
ENSDARG00000000747	274	277	277	292	263	285
ENSDARG00000000760	382	512	408	428	577	487
ENSDARG00000000767	398	1004	512	295	589	474
ENSDARG00000000779	1914	2019	1939	2294	2119	2069
ENSDARG00000000796	488	786	541	554	523	380
ENSDARG00000000804	122	26	77	96	143	142
ENSDARG00000000830	762	972	832	696	631	712
ENSDARG00000000837	471	295	418	525	319	377
ENSDARG00000000853	3281	2861	3015	3193	3592	2516
ENSDARG00000000857	1938	1865	1916	1736	1735	1736
ENSDARG00000000861	9091	6836	8537	7997	7067	8476
ENSDARG00000000887	4981	5114	5085	7763	7767	8625
ENSDARG00000000906	535	776	592	704	780	725
ENSDARG00000000935	424	334	426	242	140	260
ENSDARG00000000943	3571	3050	3283	4445	5225	3859
ENSDARG00000000966	9075	6159	8153	6479	6006	6439
ENSDARG00000001014	4293	3469	3804	2344	2210	1391
ENSDARG00000001015	1679	1853	1785	940	885	1145
ENSDARG00000001057	2740	2698	2645	2735	2551	1988
ENSDARG00000001129	4540	3731	4289	2291	2212	2243
ENSDARG00000001154	207	205	206	121	115	111
ENSDARG00000001162	6089	5658	5821	4927	5676	4694
ENSDARG00000001169	422	340	380	369	364	260
ENSDARG00000001210	834	1040	886	965	850	819
ENSDARG00000001220	6671	4561	5888	4208	4725	4301
ENSDARG00000001234	1074	1481	1133	1102	1393	983
ENSDARG00000001241	6680	6801	6730	6813	6747	6858
ENSDARG00000001244	14525	18023	15417	11406	12585	12084
ENSDARG00000001249	562	679	589	657	736	686
ENSDARG00000001259	49	41	43	66	112	61
ENSDARG00000001303	685	1180	924	729	198	617
ENSDARG00000001313	3937	5475	4528	4668	4427	6204
ENSDARG00000001354	499	81	321	99	195	436
ENSDARG00000001414	181	349	242	243	178	378
ENSDARG00000001431	1127	1039	1200	425	414	841
ENSDARG00000001437	147	118	129	90	167	96
ENSDARG00000001442	928	1062	985	885	826	971
ENSDARG00000001447	4061	2801	3450	5732	8022	5217
ENSDARG00000001452	609	1125	743	822	677	776
ENSDARG00000001463	431	422	425	477	534	498
ENSDARG00000001470	586	687	640	548	374	525
ENSDARG00000001498	526	292	446	488	515	559
ENSDARG00000001549	271	200	254	245	195	236
ENSDARG00000001557	1675	2148	1846	1738	1483	1791
