gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000045039;456,029645;-13,02550713;1,231998632;316,8334268;7,09E-71;2,31E-69;kcnj16
ENSDARG00000068363;565,4313872;-12,49371041;1,087204203;160,6903397;8,00E-37;8,39E-36;si:ch211-132b12,3
ENSDARG00000098011;386,3495335;-11,84252644;1,235339629;262,0558387;6,12E-59;1,38E-57;BX000438,2
ENSDARG00000068372;124468,3341;-11,83797141;0,5742979;154,1729666;2,12E-35;2,09E-34;zgc:158427
ENSDARG00000013134;2393,918123;-11,79152274;0,659591261;522,9793459;9,51E-116;1,08E-113;prph2la
ENSDARG00000094050;167,7435378;-11,73634185;1,258551136;188,4797552;6,83E-43;9,01E-42;CR759830,3
ENSDARG00000097416;319,5562278;-11,72569591;1,667183969;32,45021301;1,22E-08;3,10E-08;si:ch73-306e8,2
ENSDARG00000098662;41943,8952;-11,22612519;1,083859355;43,10876086;5,18E-11;1,56E-10;si:ch73-359m17,9
ENSDARG00000016494;124635,3445;-11,20744204;0,494575426;198,6059379;4,21E-45;6,04E-44;ddc
ENSDARG00000045634;132,5949549;-11,20720459;1,364038711;77,19708368;1,55E-18;7,30E-18;lmod2a
ENSDARG00000039499;1330,631254;-11,11157496;0,706252886;412,2849826;1,17E-91;7,09E-90;soul2
ENSDARG00000095453;1063,664595;-10,67301093;1,926694087;15,4552021;8,45E-05;0,000154766;si:rp71-17i16,6
ENSDARG00000088762;29254,66241;-10,64252091;0,938714034;55,56504931;9,04E-14;3,23E-13;si:ch211-224l10,4
ENSDARG00000101156;20457,44365;-10,47124926;0,898883541;57,46676103;3,44E-14;1,26E-13;slco1f2
ENSDARG00000031952;23411,07683;-10,23914017;0,434121546;261,906996;6,59E-59;1,49E-57;mb
ENSDARG00000058988;2792,83809;-10,23352671;1,177508305;35,84521878;2,14E-09;5,72E-09;KCNJ15
ENSDARG00000070672;18572,75704;-10,15962369;0,579807277;131,2168595;2,22E-30;1,83E-29;slc2a9l1
ENSDARG00000094546;11298,95798;-10,09941981;0,567022577;131,1021218;2,35E-30;1,93E-29;si:ch211-132b12,6
ENSDARG00000052948;334,2149066;-9,988045275;1,09769294;97,00907358;6,90E-23;4,05E-22;nppal
ENSDARG00000088524;28368,18284;-9,937269054;0,477030216;204,7927271;1,88E-46;2,79E-45;acot17
ENSDARG00000101014;32124,1771;-9,904948826;0,946545076;50,65737078;1,10E-12;3,70E-12;slco1f4
ENSDARG00000097157;4819,421734;-9,752366553;1,069210879;35,08014845;3,16E-09;8,35E-09;si:ch211-207n23,2
ENSDARG00000091252;5957,458508;-9,694452066;1,142074411;33,89320922;5,82E-09;1,51E-08;slc22a7b,2
ENSDARG00000117459;17207,33507;-9,678973384;1,051857381;38,10784841;6,69E-10;1,86E-09;FO834903,1
ENSDARG00000003181;6295,052705;-9,678649587;0,537597824;164,1065618;1,43E-37;1,55E-36;sult1st4
ENSDARG00000096762;4610,295694;-9,618196484;1,092144864;35,168705;3,02E-09;8,00E-09;si:dkey-61p9,11
ENSDARG00000093061;39,01507523;-9,580229434;1,470705993;43,7143105;3,80E-11;1,16E-10;CR847870,3
ENSDARG00000095445;68,13704017;-9,535845063;1,211381942;124,825299;5,56E-29;4,31E-28;si:dkey-191c17,2
ENSDARG00000020143;37283,33021;-9,511328605;0,87369609;53,40340572;2,72E-13;9,46E-13;pah
ENSDARG00000079543;12235,24576;-9,505860752;0,576496132;131,2879872;2,14E-30;1,76E-29;dpys
ENSDARG00000058318;7407,283806;-9,485419288;0,363021258;361,7176457;1,19E-80;5,27E-79;c1qtnf9
ENSDARG00000102602;387,0374261;-9,456611472;0,653591346;478,4156666;4,73E-106;4,22E-104;si:ch211-220m17,4
ENSDARG00000104132;35,25874392;-9,451841285;1,322520613;76,71999783;1,97E-18;9,21E-18;traj28
ENSDARG00000071601;27564,7812;-9,430183636;1,337530182;23,36418345;1,34E-06;2,90E-06;pvalb9
ENSDARG00000023176;6457,34968;-9,422537216;0,627666591;99,64766144;1,82E-23;1,10E-22;tdo2b
ENSDARG00000091209;2248,624925;-9,416552304;0,526188358;208,1065198;3,56E-47;5,42E-46;ucp3
ENSDARG00000086254;2396,603006;-9,393219163;0,689753465;117,1077933;2,72E-27;1,95E-26;hhla2b,2
ENSDARG00000022261;42450,81473;-9,385976582;0,39357214;265,7202725;9,72E-60;2,26E-58;pdzk1
