gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000003904;30428,59259;10,12959835;0,257158549;916,6026865;2,41E-201;5,81E-197;sycp1
ENSDARG00000041699;22511,14389;11,40041586;0,417594046;902,7991531;2,42E-198;2,91E-194;piwil1
ENSDARG00000035862;35656,49671;11,65355243;0,373805741;850,1931683;6,60E-187;5,30E-183;insl3
ENSDARG00000014402;8831,146181;11,40832723;0,531591403;847,0944751;3,11E-186;1,87E-182;smc1b
ENSDARG00000032808;16496,90619;11,15431173;0,417679861;834,1938523;1,99E-183;9,56E-180;tdrd7a
ENSDARG00000040254;8707,696648;10,58579285;0,420590093;828,4812666;3,47E-182;1,39E-178;hormad1
ENSDARG00000104085;10589,86064;-4,997720106;0,161781167;822,3412065;7,49E-181;2,58E-177;abcd3a
ENSDARG00000104643;38905,70732;11,57055103;0,343015994;811,0958414;2,09E-178;6,28E-175;tuba7l
ENSDARG00000025174;6628,280077;9,334118674;0,326410117;789,4427265;1,07E-173;2,85E-170;zgc:103482
ENSDARG00000058587;6384,15737;11,20683963;0,567786677;784,8950408;1,04E-172;2,50E-169;terb1
ENSDARG00000036214;5862,10945;10,59272597;0,537989576;759,9625536;2,74E-167;5,99E-164;dazl
ENSDARG00000014373;12902,0686;10,52623153;0,392983728;749,0285938;6,53E-165;1,31E-161;ddx4
ENSDARG00000058839;2019,34698;-6,01631559;0,20460517;742,1097254;2,08E-163;3,86E-160;susd1
ENSDARG00000103746;6948,315529;7,672095334;0,237558818;730,5612692;6,76E-161;1,16E-157;mapkbp1
ENSDARG00000052188;6333,89796;11,07539843;0,586359489;705,3846481;2,02E-155;3,24E-152;znf541
ENSDARG00000069758;4490,575401;11,45195425;0,730032216;693,7683642;6,77E-153;1,02E-149;si:dkey-189g17,2
ENSDARG00000013438;7024,891552;11,34998644;0,597633196;677,8144893;2,00E-149;2,83E-146;sycp3
ENSDARG00000088091;44160,2633;-5,05405688;0,179287475;673,5137588;1,72E-148;2,30E-145;pfn1
ENSDARG00000004377;2724,723437;-4,492995751;0,165370722;672,4694853;2,90E-148;3,68E-145;ppp1r13ba
ENSDARG00000095223;10008,8956;11,18433855;0,469533932;671,0521171;5,90E-148;7,10E-145;si:ch211-242f23,3
ENSDARG00000075301;18961,10687;11,60685576;0,445628302;664,94899;1,25E-146;1,44E-143;gsdf
ENSDARG00000040732;3520,684079;10,69136968;0,635725209;661,3074263;7,76E-146;8,49E-143;elavl2
ENSDARG00000092651;5909,84002;6,773748373;0,21274265;659,8879006;1,58E-145;1,65E-142;si:dkey-57a22,11
ENSDARG00000005179;14619,1394;-5,484738083;0,193915833;658,818484;2,70E-145;2,71E-142;dglucy
ENSDARG00000045836;1551,1099;-5,210977974;0,19530978;641,0348774;1,99E-141;1,92E-138;mapk11
ENSDARG00000076182;4806,468225;-4,499429336;0,170221532;628,3095219;1,17E-138;1,08E-135;stat1b
ENSDARG00000078440;3645,396465;12,29710007;0,981684652;627,1118829;2,12E-138;1,89E-135;ccdc88aa
ENSDARG00000033170;8094,743059;-4,506881991;0,170105509;625,8816992;3,93E-138;3,38E-135;sult2st1
ENSDARG00000023546;3067,685074;8,860060821;0,38732082;624,7418501;6,96E-138;5,77E-135;kcnn1b
ENSDARG00000069503;3647,781576;-7,373725475;0,260307603;623,2557287;1,46E-137;1,17E-134;cldnh
ENSDARG00000026236;4388,012308;-5,28273125;0,196535575;618,3528464;1,71E-136;1,32E-133;zgc:56585
ENSDARG00000058348;4412,975689;-5,754199406;0,211503702;613,2393813;2,21E-135;1,66E-132;scinlb
ENSDARG00000105691;1467,776201;-6,419235507;0,243526082;611,1182879;6,39E-135;4,66E-132;slco1f3
ENSDARG00000007682;7217,271229;-4,283615464;0,165682744;608,2924199;2,63E-134;1,81E-131;ppdpfa
ENSDARG00000102572;1950,421741;-4,926276938;0,188671554;608,3497987;2,56E-134;1,81E-131;si:ch211-260e23,9
ENSDARG00000043342;2356,206723;7,731051886;0,360222891;603,4345549;3,00E-133;2,00E-130;gpx3
ENSDARG00000099839;6222,064263;-5,011761495;0,1896836;601,8289047;6,70E-133;4,36E-130;si:ch211-9d9,1
ENSDARG00000103492;6363,920065;9,744264075;0,390130678;601,6416953;7,36E-133;4,66E-130;si:ch73-111k22,3
ENSDARG00000044325;6005,911451;9,058905778;0,364120298;601,359356;8,47E-133;5,23E-130;zgc:193690
ENSDARG00000102435;983,5675444;-7,534556578;0,31145035;595,2696499;1,79E-131;1,08E-128;plekhf1
ENSDARG00000059412;2044,318772;12,15292764;1,161802484;582,5963528;1,02E-128;6,00E-126;zgc:111976
ENSDARG00000068098;4369,221898;10,39819208;0,529892166;579,5801961;4,63E-128;2,65E-125;si:ch211-198o12,4
ENSDARG00000097876;4372,645363;11,12739318;0,654648798;578,5907401;7,60E-128;4,25E-125;si:dkey-40g16,5
ENSDARG00000088950;7625,552557;9,781080978;0,391608982;573,4365618;1,00E-126;5,49E-124;sycp2
ENSDARG00000074283;2465,058118;-6,2710667;0,239233595;568,3114392;1,31E-125;7,00E-123;inpp5d
ENSDARG00000042032;2439,095386;-6,34208179;0,243581209;566,9502254;2,59E-125;1,35E-122;pou3f3a
ENSDARG00000092561;2088,805079;10,94350019;0,854327927;562,9228338;1,94E-124;9,96E-122;pimr201
ENSDARG00000009779;9955,946858;-4,102802646;0,166742993;556,4389866;5,00E-123;2,51E-120;mcl1a
ENSDARG00000074865;1479,849895;-5,649172255;0,223352251;553,7012335;1,97E-122;9,69E-120;frmpd3
ENSDARG00000099801;3201,842743;9,848868431;0,542145294;553,3466106;2,35E-122;1,13E-119;topaz1
ENSDARG00000105383;3291,712712;13,03650531;1,080631197;551,713936;5,34E-122;2,52E-119;si:zfos-405g10,4
ENSDARG00000015460;5937,52831;5,468952179;0,185925777;549,3101103;1,78E-121;8,23E-119;racgap1
ENSDARG00000003200;14864,73304;6,429371835;0,202285916;547,0091267;5,63E-121;2,56E-118;foxm1
ENSDARG00000095896;3631,582054;-5,801817179;0,225800069;545,64834;1,11E-120;4,96E-118;pou3f3b
ENSDARG00000063295;3381,613185;-4,404142229;0,179820917;543,1043832;3,98E-120;1,73E-117;myh9a
ENSDARG00000070430;1537,358059;9,424123867;0,655770436;543,0877129;4,02E-120;1,73E-117;chtopb
ENSDARG00000091101;2547,934785;-7,086369835;0,269808103;535,5939611;1,71E-118;7,24E-116;fabp10b
ENSDARG00000088693;3980,0541;10,28634072;0,533066549;534,7230003;2,65E-118;1,10E-115;dcst2
ENSDARG00000117222;2518,277527;10,02275078;0,5995205;532,1352226;9,69E-118;3,95E-115;BX088525,2
ENSDARG00000102899;8504,945633;8,606208444;0,300288531;527,2743762;1,11E-116;4,44E-114;cremb
ENSDARG00000071116;2713,265723;-4,619050315;0,191178053;524,2909796;4,93E-116;1,95E-113;eepd1
ENSDARG00000092169;2114,373992;10,01949214;0,669398;522,9304528;9,75E-116;3,79E-113;si:dkey-250k15,4
ENSDARG00000062182;934,533509;-7,332599204;0,317580619;517,5953443;1,41E-114;5,39E-112;slc22a7b,3
ENSDARG00000101235;1843,83907;10,71659706;0,845620439;516,2366731;2,79E-114;1,05E-111;ccdc166
ENSDARG00000058285;2804,177817;-5,346549568;0,217446991;515,2513807;4,57E-114;1,69E-111;cpt1b
ENSDARG00000067710;3298,082947;9,718770624;0,493968299;511,876102;2,48E-113;9,04E-111;shisal1b
ENSDARG00000093193;1505,595489;-6,182589213;0,252198544;511,3425762;3,24E-113;1,16E-110;chia,6
ENSDARG00000007465;6762,762025;10,01359249;0,445934251;508,2954703;1,49E-112;5,27E-110;tdrd1
ENSDARG00000059388;2040,807208;-5,119890654;0,213264573;507,7157538;1,99E-112;6,95E-110;bdh1
ENSDARG00000062190;5075,541545;-3,633968173;0,157508836;507,1381225;2,66E-112;9,15E-110;pde3b
ENSDARG00000069733;5802,161333;-4,858457998;0,201427631;505,8649673;5,03E-112;1,71E-109;mavs
ENSDARG00000077777;128933,7616;-3,649269998;0,157953604;502,0080428;3,48E-111;1,16E-108;tmsb4x
ENSDARG00000077288;1175,371121;9,427003804;0,694621422;501,5553576;4,36E-111;1,44E-108;si:ch211-188c16,1
ENSDARG00000075632;1331,525239;10,47946253;0,89038384;501,2596784;5,06E-111;1,64E-108;rad9b
ENSDARG00000055839;3893,871923;10,1081675;0,515511704;497,6812224;3,04E-110;9,75E-108;march4l
ENSDARG00000018146;11751,61946;-4,301324789;0,183359355;497,5526315;3,24E-110;1,01E-107;gpx1a
ENSDARG00000076609;4038,90645;6,438130585;0,234733282;497,5713886;3,21E-110;1,01E-107;si:ch211-199g17,9
ENSDARG00000099819;1843,479797;-5,646514011;0,233925349;496,7322004;4,89E-110;1,51E-107;sb:cb1058
ENSDARG00000104686;10083,3123;10,54464858;0,432335041;495,9587668;7,20E-110;2,19E-107;hsf5
ENSDARG00000090793;2344,93235;-5,344804298;0,223061101;495,2769394;1,01E-109;3,05E-107;si:ch211-207j7,2
ENSDARG00000062606;3045,384056;5,895711923;0,222524797;493,0799291;3,05E-109;9,05E-107;si:dkey-26i13,8
ENSDARG00000044491;4194,529679;5,116117518;0,186897104;492,9842679;3,20E-109;9,38E-107;kif20a
ENSDARG00000033172;1792,993003;-4,821369233;0,207226191;491,9382632;5,40E-109;1,56E-106;nr2f5
ENSDARG00000071410;4558,831953;5,738107891;0,206310012;489,3223856;2,00E-108;5,73E-106;cks2
ENSDARG00000022493;3602,076478;9,807462095;0,505023556;486,5381106;8,07E-108;2,29E-105;rad21l1
ENSDARG00000040161;2109,173649;7,549685194;0,344090709;484,3033515;2,47E-107;6,92E-105;zgc:92287
ENSDARG00000022614;4038,467486;10,29408877;0,593792808;483,6026813;3,51E-107;9,72E-105;ddx43
ENSDARG00000070052;9890,392158;6,563963927;0,224721062;480,9329673;1,34E-106;3,66E-104;tdrd6
ENSDARG00000112759;2278,423965;10,64170175;0,759291381;480,3928499;1,75E-106;4,75E-104;si:ch211-122l24,6
ENSDARG00000037782;2196,818022;7,279153478;0,330750255;480,3529256;1,79E-106;4,79E-104;sox8b
ENSDARG00000037056;4081,554114;5,525168053;0,201993574;478,9886247;3,55E-106;9,38E-104;zte38
ENSDARG00000068468;1933,379665;8,489420436;0,429394286;476,1552009;1,47E-105;3,84E-103;dnah3
ENSDARG00000104450;1210,58701;-5,070450905;0,221722335;476,0718035;1,53E-105;3,96E-103;CR855996,2
ENSDARG00000021383;2385,482032;-4,833649821;0,208351891;475,4220025;2,12E-105;5,42E-103;naalad2
ENSDARG00000004204;8341,680266;6,30803897;0,218297116;472,09562;1,12E-104;2,84E-102;efhc2
ENSDARG00000014209;2667,11544;9,184350078;0,466751138;471,7508488;1,33E-104;3,34E-102;odf3l2a
ENSDARG00000103961;2291,060182;10,4752542;0,760349233;471,319581;1,65E-104;4,11E-102;poln
ENSDARG00000096514;2165,238469;7,910709228;0,366859654;470,8680803;2,07E-104;5,09E-102;si:ch211-286b5,2
ENSDARG00000018008;3526,602955;6,575923085;0,251554586;469,3161377;4,51E-104;1,10E-101;mdh1b
ENSDARG00000000606;7145,003596;4,809455212;0,17567117;467,1929585;1,31E-103;3,15E-101;dnah6
ENSDARG00000028740;3952,391407;10,48605146;0,590955758;466,6938998;1,68E-103;4,00E-101;msnb
ENSDARG00000075284;1937,689397;6,632334845;0,283800763;464,9139003;4,10E-103;9,67E-101;kansl1l
ENSDARG00000017165;10363,14018;-6,071240837;0,249304654;463,9136386;6,76E-103;1,57E-100;slc3a1
ENSDARG00000038812;3280,198112;6,700832476;0,265033115;463,9202523;6,74E-103;1,57E-100;e2f5
ENSDARG00000038865;4238,820775;-4,195476502;0,187269388;463,0075083;1,07E-102;2,44E-100;acox3
ENSDARG00000054374;1321,039483;11,10359353;1,09937978;462,7299327;1,22E-102;2,78E-100;alg13
ENSDARG00000077479;1091,3603;9,768811997;0,797741312;461,3667484;2,42E-102;5,45E-100;msh5
ENSDARG00000014058;4750,365292;7,475289616;0,28084946;461,0474031;2,84E-102;6,34E-100;rab36
ENSDARG00000101697;1839,136821;6,769652746;0,294174212;460,1421332;4,48E-102;9,89E-100;si:dkey-30e9,7
ENSDARG00000018270;1241,089659;-5,743107204;0,25526069;458,3124157;1,12E-101;2,45E-99;olfm1a
ENSDARG00000013837;1013,868937;11,91665749;1,278717182;458,0918465;1,25E-101;2,71E-99;spo11
ENSDARG00000055128;4841,831616;4,500971499;0,172765597;457,5544803;1,64E-101;3,52E-99;armc4
ENSDARG00000078754;4653,199418;6,155027501;0,22628033;456,5098769;2,76E-101;5,89E-99;gra
ENSDARG00000012534;2638,6681;-5,449934581;0,237120659;456,0362012;3,50E-101;7,40E-99;slc6a6a
ENSDARG00000039770;2803,252826;5,07347305;0,198943851;455,7583186;4,03E-101;8,43E-99;dync2li1
ENSDARG00000053554;3469,040868;5,834431029;0,220384233;455,6912303;4,16E-101;8,64E-99;wdr76
ENSDARG00000043912;1251,019545;8,808425428;0,555946119;455,2165506;5,28E-101;1,09E-98;mei4
ENSDARG00000095734;1976,556967;10,18041929;0,696616147;454,126376;9,12E-101;1,86E-98;pimr186
ENSDARG00000057148;982,2820067;-5,07805974;0,228131675;454,0537112;9,46E-101;1,91E-98;mocos
ENSDARG00000100741;3666,015408;5,196548663;0,199878112;453,8265105;1,06E-100;2,13E-98;cdc20
ENSDARG00000040610;2109,688308;-8,188208013;0,340761339;453,1720802;1,47E-100;2,93E-98;si:ch73-352p4,8
ENSDARG00000089838;1332,106409;-4,06248634;0,185394442;451,9395311;2,73E-100;5,38E-98;si:dkey-262k9,4
