row ID;row m/z;row retention time;name;row identity (main ID);row identity (all IDs);row identity (main ID + details);identity;row number of detected peaks;average;CRE/WT;WT/Tert;CRE/Tert;t test;Tert G1;Tert G2;Tert G3;Tert G4;Tert G5;Tert G6;Tert G7;Tert G8;WT G1;WT G2;WT G3;WT G4;WT G5;WT G6;WT G7;WT G8;CRE G1;CRE G2;CRE G3;CRE G4;CRE G5;CRE G6;CRE G7;CRE G8;CRE G9
42639;247,1339337;15,81298897;POSmz247.134rt15.81;2-Oxo-5,11(13)-eudesmadien-12,8-olide;2-Oxo-5,11(13)-eudesmadien-12,8-olide_Methyl (2E,4Z,6E,8E,10E)-4,8-dimethyl-12-oxo-2,4,6,8,10-dodecapentaenoate_5-Hydroxy-2-(1-hydroxy-5-methyl-4-hexenyl)benzofuran_Enokipodin B_Lacinilene C_8-Epixanthatin_Annuolide C_Zederone_3-Oxo-1,4,11(13)-eudesmatrien-12-oic acid_Annuolide A_Curcolone_Zedoarol_Glandulone A_Ipomeabisfuran_Loxoprofen;ID: HMDB0030911_Name: 2-Oxo-5,11(13)-eudesmadien-12,8-olide_Molecular formula: C15H18O3_Identification method: HMDB All metabolites - M+H.txt;HMDB0030911;4;1,76E+05;1,501;1,549;2,325;0,000;85164,44531;100908,6563;89920,60156;103561,2031;94851,17969;104039,7031;160091,7188;115524,6953;131379,5469;176381,3438;163049,6563;181407,7656;177431,3125;197371,5781;188887,2188;107283,2031;209226,75;235310,2344;231301,375;285026,625;218382,7656;278363,3125;274675;268261,75;233673,6563
5912;211,1332089;15,01952718;POSmz211.133rt15.02;Jasmonic acid;Jasmonic acid_Sedanonic acid_Dihydro-3-(2-octenyl)-2,5-furandione_(R)-8-Acetoxycarvotanacetone_1-Benzyloxy-1-(2-methoxyethoxy)ethane_4-(Butoxymethyl)-2-methoxyphenol_Isoamyl 2-furonpropionate_Dihydro-3-(1-octenyl)-2,5-furandione_3-Ethenyl-2,5-dimethyl-4-oxohex-5-en-2-yl acetate;ID: HMDB0032797_Name: Jasmonic acid_Molecular formula: C12H18O3_Identification method: HMDB All metabolites - M+H.txt;HMDB0032797;23;6,61E+05;1,219;1,148;1,399;0,000;556563,3125;513503,2188;542777,0625;516848,75;575537,8125;532191,625;599414,6875;603526,4375;561502,4375;734379,75;623713,5;703419,4375;562889,0625;687629,75;564340,4375;658614,75;709002,6875;687012,6875;800175,5;757398,375;760510,5625;813041,6875;816264,125;836802,375;810267,5
35766;141,0913074;12,3547078;POSmz141.091rt12.35;2,4-Hexadienyl acetate;2,4-Hexadienyl acetate_3-Ethyl-2-hydroxy-4-methyl-2-cyclopenten-1-one_3-Ethyl-5-methyl-1,2-cyclopentanedione_Ethyl 2-methyl-3,4-pentadienoate_Allyl tiglate_3-Propyl-1,2-cyclopentanedione_2-Hydroxy-3,4,5-trimethyl-2-cyclopenten-1-one_4-Ethyl-2-hydroxy-3-methyl-2-cyclopenten-1-one_3,5,5-Trimethyl-1,2-cyclopentanedione_3-Isopropyl-1,2-cyclopentanedione_Ethyl sorbate_3,4,4-Trimethyl-1,2-cyclopentanedione_2-Propyl-2,4-pentadienoic acid;ID: HMDB0032311_Name: 2,4-Hexadienyl acetate_Molecular formula: C8H12O2_Identification method: HMDB All metabolites - M+H.txt;HMDB0032311;16;1,39E+06;1,291;1,233;1,592;0,000;996145,0625;1278778;885085,75;1007414,875;1283491,5;1036465,188;920756,9375;1237850,75;1270391,625;1199126,5;1027382,063;1438117,625;1311266,75;1705287,625;1184930,25;1522221,875;1439830,625;1642600,375;1760064,625;1715565,25;1847989,75;1685485,75;1838570,125;1802831,5;1747330,875
26808;218,9631134;23,41972769;NEGmz218.963rt23.42;2,4-Dichlorophenoxyacetic acid;2,4-Dichlorophenoxyacetic acid;ID: HMDB0041797_Name: 2,4-Dichlorophenoxyacetic acid_Molecular formula: C8H6Cl2O3_Identification method: HMDB All metabolites - M-H.txt;HMDB0041797;15;1,33E+05;1,033;2,172;2,244;0,000;72912,28906;64292,83594;56238,69141;55740,98438;55027,08203;54450,13281;97684,375;126586,1797;140709,5781;138629,4219;153802,5938;159518,5938;168896,0156;174078,6875;161204;169107,3281;152557,6875;170486,4375;149147,1719;154068,0938;152096,1719;164334,7031;192586,9219;171172,1406;165033,1719
16708;250,990751;7,724947961;POSmz250.991rt7.72;3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid;3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid_4-Chloro-5-sulfamoylanthranilic acid;ID: HMDB0033822_Name: 3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid_Molecular formula: C9H8Cl2O4_Identification method: HMDB All metabolites - M+H.txt;HMDB0033822;19;3,75E+05;0,882;0,860;0,759;0,000;393305,0313;415264,3438;451513,3125;447615,4375;481834,5313;416814,875;427924,6563;418037,9375;380948,3438;486377,1875;368554,3125;344501,4063;338620,75;359013,0938;357820,9063;334718,8125;336849,5313;331081,3438;337560,6875;331375,9063;336733,625;300964,2188;347083,5;343429,9063;282046,4063
2160;223,1329172;15,09999478;POSmz223.133rt15.1;Annuionone B;Annuionone B_Dehydrovomifoliol_Isoamyl p-anisate_1-Hydroxyibuprofen_2-Hydroxyibuprofen_3-Hydroxyibuprofen_Hexyl salicylic acid;ID: HMDB0032121_Name: Annuionone B_Molecular formula: C13H18O3_Identification method: HMDB All metabolites - M+H.txt;HMDB0032121;25;2,07E+06;1,344;2,073;2,785;0,000;2015603;407219,1563;423448,625;790343,625;911824,25;1182137,75;1361920,125;1234413,5;1701955,125;1619588,375;2283341,25;2073914,125;2347624;2046448,125;2696832,75;2488180,75;2966946,25;2949479,25;3318420;3168268,5;2418151,25;3349946,25;2492944,25;2689010,5;2731712,5
397;75,02677124;7,545468098;POSmz75.027rt7.55;2-Propene-1-thiol;2-Propene-1-thiol_1-Propene-1-thiol;ID: HMDB0031635_Name: 2-Propene-1-thiol_Molecular formula: C3H6S_Identification method: HMDB All metabolites - M+H.txt;HMDB0031635;17;1,43E+07;0,931;0,933;0,869;0,000;1,61E+07;1,59E+07;1,51E+07;1,45E+07;1,62E+07;1,54E+07;1,47E+07;1,52E+07;1,44E+07;1,50E+07;1,44E+07;1,48E+07;1,46E+07;1,42E+07;1,40E+07;1,34E+07;1,38E+07;1,32E+07;1,32E+07;1,32E+07;1,36E+07;1,40E+07;1,33E+07;1,31E+07;1,29E+07
25812;183,1019138;12,75368609;POSmz183.102rt12.75;Amyl 2-furoate;Amyl 2-furoate_(±)-threo-Anethole glycol_4-Ethyl-2,6-dimethoxyphenol_Verimol J_4-(Ethoxymethyl)-2-methoxyphenol_Furfuryl pentanoate_Peperinic acid_2-Ethoxy-4-(methoxymethyl)phenol_Furfuryl isovalerate_Isoamyl 2-furoate;ID: HMDB0029456_Name: Amyl 2-furoate_Molecular formula: C10H14O3_Identification method: HMDB All metabolites - M+H.txt;HMDB0029456;21;1,33E+06;1,430;1,415;2,025;0,000;833654,9375;761000,0625;684759,25;815209,4375;912375,5;862514;896688,9375;1307658,125;1020253,563;1203507,875;1107919,25;1170091,125;928405,6875;1403200,375;1922982,375;1255710,375;1442679,625;2143106,5;1655844,25;1840154,125;1992712,25;1838972,875;1614056,75;2099264,25;1484903
26261;535,0856339;9,254390473;NEGmz535.086rt9.25;Sagecoumarin;Sagecoumarin;ID: HMDB0034035_Name: Sagecoumarin_Molecular formula: C27H20O12_Identification method: HMDB All metabolites - M-H.txt;HMDB0034035;19;5,37E+05;0,866;13,295;11,514;0,000;0;31277,04492;0;0;0;0;260995,5469;200446,3125;652890,5625;713281,9375;1312904,625;728682,375;1148041,125;498144,0938;947004,75;549849;1094523;851461,8125;729557,8125;630019,1875;503534,8438;852838,75;690325,1875;548706,0625;481175,9688
2098;441,2541089;17,79268489;NEGmz441.254rt17.79;Prostaglandin G2 2-glyceryl Ester;Prostaglandin G2 2-glyceryl Ester;ID: HMDB0062591_Name: Prostaglandin G2 2-glyceryl Ester_Molecular formula: C23H38O8_Identification method: HMDB All metabolites - M-H.txt;HMDB0062591;25;1,11E+06;0,701;0,399;0,280;0,000;1233702,375;2076973,75;2221276,75;2570975;1642077,875;2824594,25;1807630,875;1764745,75;577233;633190,0625;744914,625;624351,875;623415,0625;419589,875;2132273;681421,6875;359301,4688;509526,2813;494467,0938;461023,0938;603520,125;834358,4375;609383,625;579258,9375;626949,5625
