GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A097HUX0	cyp27b1	GO:0071425	hematopoietic stem cell proliferation	P
UniProtKB	A0A0A0MPL9	ptger4c	GO:0050728	negative regulation of inflammatory response	P
UniProtKB	A0A0A0MPT1	erc1b	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0A0MPT1	erc1b	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0A0MPV1	erc1b	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0B5JJZ3	metrnla	GO:0050728	negative regulation of inflammatory response	P
UniProtKB	A0A0B5JK15	nrp1b	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0B5JK63	calr	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0B5JKB8	A0A0B5JKB8	GO:0009267	cellular response to starvation	P
UniProtKB	A0A0B5JKB8	A0A0B5JKB8	GO:0032099	negative regulation of appetite	P
UniProtKB	A0A0B5JPZ1	calr3a	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0B5JQ80	erbb2	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0B5JS61	nrp2b	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0B5JS81	Zgc:110239	GO:0051603	proteolysis involved in protein catabolic process	P
UniProtKB	A0A0B5JW56	ret	GO:1901166	neural crest cell migration involved in autonomic nervous system development	P
UniProtKB	A0A0B5JWD1	chga	GO:0046676	negative regulation of insulin secretion	P
UniProtKB	A0A0G2KCN9	ehmt2	GO:0006306	DNA methylation	P
UniProtKB	A0A0G2KCW6	ddb1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KCW6	ddb1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KD20	htr4	GO:0032098	regulation of appetite	P
UniProtKB	A0A0G2KFN1	LOC555645	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0G2KH46	slc5a7a	GO:0007271	synaptic transmission, cholinergic	P
UniProtKB	A0A0G2KH46	slc5a7a	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0G2KH95	psmd2	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KHM6	pxdn	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	A0A0G2KIN3	A0A0G2KIN3	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0G2KIS6	LOC100334962	GO:0016907	G protein-coupled acetylcholine receptor activity	F
UniProtKB	A0A0G2KIS7	ubxn4	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0G2KIT7	A0A0G2KIT7	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KJF1	clpxa	GO:0051603	proteolysis involved in protein catabolic process	P
UniProtKB	A0A0G2KLL0	sema6a	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0G2KLP2	LOC108182745	GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KN75	ate1	GO:0004057	arginyltransferase activity	F
UniProtKB	A0A0G2KN75	ate1	GO:0016598	protein arginylation	P
UniProtKB	A0A0G2KN75	ate1	GO:0004057	arginyltransferase activity	F
UniProtKB	A0A0G2KN75	ate1	GO:0016598	protein arginylation	P
UniProtKB	A0A0G2KNW8	A0A0G2KNW8	GO:1903979	negative regulation of microglial cell activation	P
UniProtKB	A0A0G2KPH1	A0A0G2KPH1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KPR3	atg7	GO:0006995	cellular response to nitrogen starvation	P
UniProtKB	A0A0G2KPR3	atg7	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0G2KPR3	atg7	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0G2KPR3	atg7	GO:0000423	mitophagy	P
UniProtKB	A0A0G2KQ30	A0A0G2KQ30	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0G2KQ69	LOC100004392	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KQP1	LOC799259	GO:0007271	synaptic transmission, cholinergic	P
UniProtKB	A0A0G2KQP1	LOC799259	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0G2KQY6	slc39a14	GO:0071333	cellular response to glucose stimulus	P
UniProtKB	A0A0G2KQY6	slc39a14	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	A0A0G2KRB6	A0A0G2KRB6	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0G2KRU2	LOC101884800	GO:0019433	triglyceride catabolic process	P
UniProtKB	A0A0G2KRV3	terf1	GO:0007004	telomere maintenance via telomerase	P
UniProtKB	A0A0G2KRV3	terf1	GO:0000723	telomere maintenance	P
UniProtKB	A0A0G2KV14	A0A0G2KV14	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KVJ0	kctd5b	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KWG8	hectd4	GO:0042593	glucose homeostasis	P
UniProtKB	A0A0G2KYH3	A0A0G2KYH3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KYH9	cxcl8a	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2KYH9	cxcl8a	GO:0071305	cellular response to vitamin D	P
UniProtKB	A0A0G2KYH9	cxcl8a	GO:0071305	cellular response to vitamin D	P
UniProtKB	A0A0G2KYP4	usp34	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2KZR4	pcsk6	GO:0016486	peptide hormone processing	P
UniProtKB	A0A0G2L2B8	pdgfrb	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0G2L2B8	pdgfrb	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2L2B8	pdgfrb	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2L2B8	pdgfrb	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2L2B8	pdgfrb	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2L2L3	A0A0G2L2L3	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	P
UniProtKB	A0A0G2L330	A0A0G2L330	GO:0007271	synaptic transmission, cholinergic	P
UniProtKB	A0A0G2L3N5	ubr1	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway	P
UniProtKB	A0A0G2L3N5	ubr1	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway	P
UniProtKB	A0A0G2L3N5	ubr1	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway	P
UniProtKB	A0A0G2L4E9	zgc:174354	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0G2L5S8	nop14	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0G2L5W0	anxa1d	GO:0046883	regulation of hormone secretion	P
UniProtKB	A0A0G2L5W0	anxa1d	GO:0031394	positive regulation of prostaglandin biosynthetic process	P
UniProtKB	A0A0G2L792	LOC100333521	GO:0051603	proteolysis involved in protein catabolic process	P
UniProtKB	A0A0G2L7A3	bglapl	GO:0032571	response to vitamin K	P
UniProtKB	A0A0G2L7B5	sik1	GO:0042149	cellular response to glucose starvation	P
UniProtKB	A0A0G2L879	LOC101882451	GO:0015464	acetylcholine receptor activity	F
UniProtKB	A0A0G2L879	LOC101882451	GO:0007271	synaptic transmission, cholinergic	P
UniProtKB	A0A0G2L926	LOC110438068	GO:0010893	positive regulation of steroid biosynthetic process	P
UniProtKB	A0A0G2L926	LOC110438068	GO:0006590	thyroid hormone generation	P
UniProtKB	A0A0G2LAU7	A0A0G2LAU7	GO:0009267	cellular response to starvation	P
UniProtKB	A0A0G2LAU7	A0A0G2LAU7	GO:0032099	negative regulation of appetite	P
UniProtKB	A0A0G2LB43	sema4f	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0H2UKD5	siah1	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0H2UKG5	usp37	GO:0006511	ubiquitin-dependent protein catabolic process	P
