gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000101296;64,80770731;9,44173963;1,418917068;47,90796846;4,47E-12;6,22E-10;si:ch211-170p16,1
ENSDARG00000117011;97,65617432;5,749019967;1,969386218;5,626038017;0,017695583;0,063403225;ewsr1b
ENSDARG00000105483;21,19883194;5,000624747;1,082534579;21,53000198;3,48E-06;6,37E-05;zgc:112234
ENSDARG00000092925;19,54895008;4,958901212;1,309357738;14,00864279;0,000181972;0,001653356;BX649641,2
ENSDARG00000093819;235,5623355;4,603521462;1,81298162;4,778238656;0,028821586;0,091632111;CT027772,2
ENSDARG00000075482;332,6143503;4,474764826;0,471850013;71,05326421;3,48E-17;1,34E-14;zgc:173587
ENSDARG00000068161;13,85977523;4,474591175;1,288745256;12,07008551;0,000512374;NA;si:dkey-16p6,4
ENSDARG00000052609;1392,132308;4,402521496;1,466017607;5,338789766;0,020855947;0,071947567;CU468164,1
ENSDARG00000105444;78,32824003;4,227533876;0,659523789;35,98864769;1,98E-09;1,26E-07;hist1h2a11
ENSDARG00000099916;36,33027322;3,99901378;0,878788909;17,89746287;2,33E-05;0,000299467;BX649345,1
ENSDARG00000105400;40,841072;3,981252084;0,685772977;31,63516982;1,86E-08;8,03E-07;CU457819,3
ENSDARG00000104501;298,574631;3,922466293;0,377234409;91,07463707;1,38E-21;1,03E-18;FP236812,1
ENSDARG00000088067;1104,067454;3,897467068;0,908441194;14,58005496;0,000134329;0,001290119;pimr187
ENSDARG00000091206;328,7545914;3,844691088;0,548881603;40,07712858;2,44E-10;2,12E-08;BX511123,1
ENSDARG00000103155;1126,375746;3,809416176;1,167660704;7,946908661;0,004816959;0,022910313;ext1a
ENSDARG00000110841;37,98798134;3,764061781;0,575588884;43,9925279;3,30E-11;3,73E-09;si:dkey-108k21,14
ENSDARG00000111964;172,8382842;3,76323833;0,414842624;71,89850635;2,27E-17;8,87E-15;zgc:171759
ENSDARG00000103015;101,9990811;3,688584283;0,468008291;56,22856892;6,45E-14;1,38E-11;hist1h2a2
ENSDARG00000100259;112,2411999;3,657134419;0,492329988;49,07315466;2,47E-12;3,80E-10;zgc:171759
ENSDARG00000098197;544,1835522;3,65066039;0,287639495;137,3582079;1,01E-31;1,94E-28;CU633999,1
ENSDARG00000091135;33,61929604;3,639321029;1,082004083;10,16697663;0,001429785;0,008752672;si:ch211-253p18,5
ENSDARG00000104588;141,4553519;3,528285418;0,365157405;86,01899231;1,78E-20;1,11E-17;zgc:112234
ENSDARG00000074016;25,45521407;3,525301371;1,025323378;11,15894597;0,000836274;0,005717759;ptgfr
ENSDARG00000058414;12,91094297;3,472222374;1,907197747;2,892816871;0,088975235;NA;bglap
ENSDARG00000105384;87,63603372;3,416056798;0,465419131;50,10806047;1,46E-12;2,38E-10;si:dkey-23a13,22
ENSDARG00000092444;9,349825545;3,402325747;1,50532948;4,177366899;0,040967302;NA;BX088710,1
ENSDARG00000113481;88,78201219;3,365753311;0,573513579;30,38522888;3,54E-08;1,40E-06;si:ch211-113a14,19
ENSDARG00000086552;98,91768314;3,36210606;0,449682578;51,11884125;8,69E-13;1,50E-10;hist1h2a11
ENSDARG00000099514;123,9833831;3,320610242;0,322609934;103,3025627;2,88E-24;2,66E-21;zgc:112234
ENSDARG00000105359;82,03295967;3,317352524;0,410352253;62,75737924;2,34E-15;6,92E-13;FP325123,1
ENSDARG00000093491;23,08618004;3,300939779;2,641138585;1,164267336;0,280582287;0,471228655;si:dkey-78l4,8
ENSDARG00000109370;62,87925185;3,294236672;0,523035939;36,82172066;1,29E-09;8,64E-08;hist1h2ba
ENSDARG00000102162;28,58325198;3,285026781;1,125446213;6,525236387;0,010635441;0,042578092;BX005043,1
ENSDARG00000111934;129,116484;3,279572374;0,374475886;70,61972066;4,33E-17;1,61E-14;zgc:112234
ENSDARG00000091728;174,8933963;3,272243022;0,403613921;58,90485257;1,65E-14;4,07E-12;zgc:114046
ENSDARG00000105355;66,97010486;3,264935587;0,537254272;34,5813843;4,09E-09;2,28E-07;zgc:154164
ENSDARG00000113044;119,3329308;3,262823827;0,592140368;26,31234422;2,90E-07;8,19E-06;pimr58
ENSDARG00000105507;287,8228469;3,250691321;0,332295261;84,8241006;3,26E-20;1,88E-17;zgc:112234
ENSDARG00000068817;20,67381157;3,239056394;1,619941755;3,290314371;0,069689678;0,176835069;pimr149
ENSDARG00000103769;11,85447695;3,18160148;1,176541145;6,370324715;0,011604436;NA;si:ch211-147m6,2
ENSDARG00000089331;1047,435835;3,177250645;0,787467547;13,7674394;0,000206891;0,001845638;urahb
ENSDARG00000112403;30,53379265;3,17679631;2,523912844;1,073262702;0,30020964;0,491392438;BX511013,1
ENSDARG00000115875;55,39441416;3,164019826;0,533629456;33,73645701;6,31E-09;3,27E-07;si:ch211-113a14,19
ENSDARG00000095453;16,36442395;3,162303994;1,36568412;5,828362376;0,015769797;NA;si:rp71-17i16,6
ENSDARG00000115766;46,60483687;3,145286178;0,525091028;34,04381835;5,39E-09;2,85E-07;si:ch73-36p18,1
ENSDARG00000015607;96,38545727;3,13457533;0,817976228;12,51132417;0,000404493;0,003189337;si:ch211-220f21,2
ENSDARG00000075508;32,75265476;3,134507827;0,696942249;18,5868998;1,62E-05;0,000220673;si:dkey-108k21,10
ENSDARG00000039065;28,36699045;3,133145684;0,952327664;9,697271771;0,001845418;0,010700922;trpc2a
ENSDARG00000105430;76,91189749;3,115009371;0,416951528;53,41741893;2,70E-13;5,37E-11;si:ch73-368j24,11
ENSDARG00000117535;43,93272261;3,094844925;0,749008788;16,52382567;4,80E-05;0,000548488;AL929493,2
ENSDARG00000077045;28,43152971;3,033137387;0,756175185;15,2042131;9,65E-05;0,000979123;scg5
ENSDARG00000105340;52,71938473;3,024049589;0,483699976;37,82877309;7,72E-10;5,72E-08;zgc:112234
ENSDARG00000098985;50,28659492;3,021598297;0,786537303;13,75890973;0,000207833;0,001851178;BX649431,2
ENSDARG00000111823;32,4923957;3,002591428;1,240654512;4,941430344;0,02622033;0,08581334;pimr98
ENSDARG00000105414;62,35058692;3,000782395;0,466057955;38,91857124;4,42E-10;3,56E-08;zgc:112234
ENSDARG00000112375;40,00747082;3,000242806;0,580128896;25,30842681;4,89E-07;1,27E-05;CR762436,1
ENSDARG00000114180;173,9135789;2,986602484;0,262850698;124,8690908;5,44E-29;7,85E-26;FP236812,2
ENSDARG00000074524;209,2492248;2,979268341;1,345982635;3,924955541;0,047574448;0,134177489;cntnap1
ENSDARG00000109755;33,75566093;2,926725984;0,711352503;15,65739102;7,59E-05;0,000802811;hist1h2a3
ENSDARG00000115897;34,18523264;2,909811003;0,93436552;9,131513393;0,002512438;0,013602266;pimr165
ENSDARG00000086847;42,20837116;2,906667992;1,004563293;7,474548928;0,006257724;0,028145744;irgq1
ENSDARG00000098270;27,27257162;2,900163545;0,861266513;10,04886314;0,00152442;0,009199896;znf1053
ENSDARG00000097649;165,8119392;2,893081191;1,171470968;5,36150627;0,020585986;0,071216227;FP243382,1
ENSDARG00000105393;115,2301617;2,850287118;0,357473699;60,00542286;9,46E-15;2,48E-12;zgc:112234
ENSDARG00000075179;129,9569952;2,837887586;0,651605459;16,3293365;5,32E-05;0,000598287;si:dkey-59p5,2
ENSDARG00000104079;11,11071988;2,835403179;1,419466076;3,542887604;0,059801267;NA;CT009487,1
ENSDARG00000099469;503,4974862;2,83402837;0,233457531;133,5069869;7,00E-31;1,16E-27;BX000985,1
ENSDARG00000103819;35,26632953;2,82120192;0,531051872;27,88033697;1,29E-07;4,21E-06;CU459186,4
ENSDARG00000076766;26,95436066;2,818909827;0,851896789;10,11584738;0,001469998;0,008936847;zgc:163061
ENSDARG00000112844;451,7242704;2,812159598;0,853044296;9,357340676;0,002220942;0,012332307;si:dkey-65b13,8
ENSDARG00000099123;41,7768782;2,811625367;0,476437351;35,36033907;2,74E-09;1,65E-07;CU459186,2
ENSDARG00000111367;159,2811857;2,805077694;0,393128921;45,76720003;1,33E-11;1,64E-09;si:ch211-221n20,4
ENSDARG00000110627;1584,789959;2,803169062;0,718343011;13,12175022;0,000291887;0,002457684;zgc:171310
ENSDARG00000105314;49,87627642;2,792324362;0,474712519;33,67731944;6,51E-09;3,32E-07;CU459186,5
ENSDARG00000062446;155,6352986;2,784164922;1,338810464;3,880828172;0,04884046;0,136812524;neurl2
ENSDARG00000093576;12,25809211;2,753350324;1,183424678;4,981163282;0,025624747;NA;BX000981,2
ENSDARG00000096434;69,19373283;2,742812046;2,084877409;0,997036509;0,31802865;0,510153473;BX901907,1
ENSDARG00000074012;21,11037318;2,737808306;0,635394912;18,59761634;1,61E-05;0,000219953;si:ch1073-159d7,7
ENSDARG00000094586;21,28231808;2,736210867;0,963753855;7,675417358;0,005597814;0,025781749;CT573357,1
ENSDARG00000105468;38,26248304;2,726227622;0,488921734;30,6267521;3,13E-08;1,25E-06;zgc:112234
ENSDARG00000102786;37,50177485;2,697287639;0,56966895;21,04640289;4,48E-06;7,84E-05;BX000696,2
ENSDARG00000105502;9,526715888;2,677539284;1,151273709;5,097364328;0,023962227;NA;si:ch73-368j24,12
ENSDARG00000094046;36,37742254;2,663631442;1,047657832;5,2559941;0,021871304;0,074622818;si:dkeyp-26a9,7
ENSDARG00000105374;13,67811089;2,658019381;0,779331227;11,69866121;0,000625451;NA;CU457819,2
ENSDARG00000112593;46,06484913;2,653558208;0,583369008;19,38436524;1,07E-05;0,000158438;hist1h2a3
ENSDARG00000074036;176,8875552;2,653071775;0,724060075;10,50388952;0,001191235;0,007570933;ky
ENSDARG00000069362;628,3781451;2,650685286;0,433834553;33,1278005;8,63E-09;4,20E-07;CR847571,1
ENSDARG00000097180;201,8743253;2,648101484;0,514553183;23,78856836;1,08E-06;2,43E-05;si:dkey-7i4,21
ENSDARG00000111894;564,726298;2,640138916;0,382686478;42,45452259;7,23E-11;7,46E-09;pimr106
ENSDARG00000027724;186,4484389;2,636989987;0,297876394;73,27510825;1,13E-17;4,49E-15;dgkb
ENSDARG00000070490;148,84546;2,626653623;0,620598598;16,56273687;4,71E-05;0,000538146;si:dkeyp-75b4,7
ENSDARG00000105366;62,31267555;2,595383179;0,411057698;39,5475005;3,20E-10;2,69E-08;hist1h2a10
ENSDARG00000117289;21,16881596;2,568171534;0,890499802;8,605943406;0,003350678;0,01716057;FP236542,2
ENSDARG00000098522;1037,887749;2,565532318;1,79780032;1,20928647;0,271473481;0,460565855;BX649431,1
ENSDARG00000102124;24,87231045;2,563924854;0,814087321;8,944391093;0,002783229;0,014726563;BX000696,1
ENSDARG00000109926;28,81087174;2,563647499;0,581328133;19,52748071;9,92E-06;0,000148612;si:ch211-113a14,19
ENSDARG00000105508;19,17846659;2,556041428;0,695478534;13,24215421;0,000273723;NA;si:dkey-23a13,21
ENSDARG00000104759;89,5671177;2,544397865;0,548646663;19,77288111;8,72E-06;0,000133216;si:ch211-165a10,9
ENSDARG00000077456;115,7972771;2,53113044;0,506855934;22,77632177;1,82E-06;3,78E-05;si:ch211-113a14,12
ENSDARG00000090670;2014,255067;2,528266006;0,274609788;75,82813494;3,09E-18;1,32E-15;si:dkey-201i6,8
ENSDARG00000096215;38,61336093;2,528258883;0,696775318;12,13409051;0,000495084;0,003739196;CR293502,1
ENSDARG00000073799;231,6471175;2,496644604;0,328366204;53,10330588;3,16E-13;6,09E-11;zgc:194210
ENSDARG00000117507;12,84369791;2,472240882;1,062872276;5,141388673;0,023361954;NA;FP236822,2
ENSDARG00000112647;20,53445361;2,47143801;0,696205628;12,37135856;0,00043597;0,003388011;si:dkey-108k21,24
ENSDARG00000103215;65,42084479;2,465968829;0,697647758;11,49767592;0,000696833;0,004950491;pimr169
ENSDARG00000005371;136,8307097;2,461068268;0,516519038;20,91351118;4,80E-06;8,26E-05;gprc6a
ENSDARG00000114133;17,00638822;2,444630206;0,806930136;8,770119599;0,003062054;NA;hist1h2a5
ENSDARG00000095001;635,7549854;2,440823;0,354544555;42,79978945;6,06E-11;6,51E-09;si:dkey-194e6,2
ENSDARG00000075538;82,15486142;2,44026989;0,529688314;19,27111402;1,13E-05;0,000165671;zgc:163061
ENSDARG00000102806;14,45035768;2,438471925;0,769576484;10,09246779;0,001488766;NA;zgc:112234
ENSDARG00000110949;20,17816446;2,436219032;0,961932054;5,495842617;0,01906174;0,06724453;BX324227,3
ENSDARG00000112360;810,5848682;2,433377154;0,355417121;42,48667104;7,12E-11;7,42E-09;BX649641,7
ENSDARG00000098662;322,7296802;2,433198295;1,345405842;2,909922077;0,088036128;0,209357745;si:ch73-359m17,9
ENSDARG00000109968;1902,630331;2,433050727;0,434027605;28,34159249;1,02E-07;3,44E-06;BX537120,1
ENSDARG00000114861;297,6253218;2,427459158;0,400951066;33,46083968;7,27E-09;3,62E-07;si:dkey-31m5,5
ENSDARG00000040159;190,0504293;2,394609639;0,339475085;46,26637095;1,03E-11;1,31E-09;wnt4b
ENSDARG00000115938;15,06008728;2,392342638;0,801402988;8,839484995;0,002947823;NA;zgc:171759
ENSDARG00000114893;23,18051324;2,391110849;0,938326973;6,950453857;0,008379797;0,035362652;znf1038
ENSDARG00000093322;663,1622567;2,388488941;0,422580477;29,03992375;7,09E-08;2,53E-06;si:dkeyp-87a6,2
ENSDARG00000090551;30,59683044;2,380833476;0,795671651;8,395873093;0,003760738;0,018813227;FP102786,1
ENSDARG00000112176;551,9726566;2,379118379;0,381372998;35,32823079;2,79E-09;1,67E-07;BX537120,2
ENSDARG00000115670;14,83204836;2,369247548;0,850549832;7,511791705;0,006129637;NA;pimr89
ENSDARG00000112561;15,21710846;2,365314166;0,792234236;8,824687558;0,002971823;NA;si:dkey-108k21,11
ENSDARG00000040985;129,9280759;2,363801017;0,32623249;49,83716841;1,67E-12;2,72E-10;itgbl1
ENSDARG00000014357;10260,90383;2,362823175;0,27129635;68,06338636;1,58E-16;5,30E-14;amh
ENSDARG00000116661;121,6660486;2,357770995;0,440416082;26,60104237;2,50E-07;7,26E-06;si:ch211-165a10,3
ENSDARG00000111790;126,1435188;2,353867192;0,326042812;49,66684497;1,82E-12;2,88E-10;zgc:194418
ENSDARG00000097531;194,6161943;2,349443004;1,851597849;1,45959976;0,226993814;0,409030069;pimr26
ENSDARG00000114236;42,06613722;2,339023367;0,536939953;17,95877282;2,26E-05;0,000291759;znf974
ENSDARG00000093548;119,3617978;2,333779575;0,39952856;32,04310786;1,51E-08;6,72E-07;BX649641,4
ENSDARG00000098587;519,4748456;2,33319804;0,512068235;18,57028394;1,64E-05;0,000221973;CR318595,1
ENSDARG00000113707;51,19487635;2,332680689;0,687287275;10,72725676;0,001055688;0,00686242;si:ch211-113a14,19
ENSDARG00000077826;46,986369;2,331880885;0,680744513;10,90621656;0,000958421;0,006364487;efcc1
ENSDARG00000105564;5451,861036;2,324070942;0,377802734;34,37434954;4,55E-09;2,48E-07;si:ch73-367j5,3
ENSDARG00000005150;294,4792519;2,323548153;0,309743492;52,15501274;5,13E-13;9,33E-11;tbx20
ENSDARG00000117459;305,0660157;2,320215439;1,154369357;3,675653499;0,055212606;0,149687797;FO834903,1
ENSDARG00000105397;32,01214868;2,318734289;0,534861827;18,38848778;1,80E-05;0,000240496;si:ch211-113a14,22
ENSDARG00000112750;422,8477086;2,314653985;0,345405169;41,21395916;1,36E-10;1,27E-08;si:ch211-165a10,5
ENSDARG00000076250;48,27150919;2,303337543;0,660371511;11,22687484;0,000806213;0,005559956;rasef
ENSDARG00000092956;1037,925503;2,300110554;0,280961249;61,13839471;5,32E-15;1,48E-12;si:dkeyp-27c8,1
ENSDARG00000109911;229,610126;2,289953635;0,484334256;20,57086198;5,75E-06;9,54E-05;si:dkey-58b18,10
ENSDARG00000113956;175,1028111;2,288165059;0,385072482;32,48487953;1,20E-08;5,59E-07;BX248331,4
ENSDARG00000092275;4584,8292;2,283849086;0,362375634;36,19438893;1,79E-09;1,15E-07;si:dkey-234d14,2
ENSDARG00000100906;15,20557335;2,280069799;0,721157838;9,956163075;0,001603118;NA;hist1h2a11
ENSDARG00000110216;91,04702034;2,274863081;0,527420446;17,37282458;3,07E-05;0,000376641;pimr168
ENSDARG00000058988;36,43853805;2,270644793;1,011348323;4,908671166;0,026722192;0,087024215;KCNJ15
ENSDARG00000099656;93,08592885;2,265930966;1,651665227;1,195677211;0,274187379;0,463691273;CR381657,1
ENSDARG00000041007;64,11064798;2,261651881;0,83347517;6,069124653;0,013756512;0,052162272;AL845428,1
ENSDARG00000116369;632,599313;2,258168454;0,331402966;42,47176914;7,17E-11;7,43E-09;BX537120,3
ENSDARG00000115706;40,36860572;2,25585265;0,528707021;18,33603253;1,85E-05;0,000245571;pimr76
ENSDARG00000041589;11,54103356;2,254281927;0,820577999;7,470135603;0,006273083;NA;adprhl1
ENSDARG00000036787;595,3633503;2,253554537;0,852544656;6,195460382;0,01280784;0,04937571;tap2a
ENSDARG00000115489;1096,675468;2,25009742;0,363427107;35,10307221;3,13E-09;1,83E-07;klhl10b,1
ENSDARG00000092772;1355,770263;2,249675557;0,408609797;27,51016167;1,56E-07;4,94E-06;CR769772,1
ENSDARG00000097564;3904,10656;2,247841934;0,345238636;38,73276053;4,86E-10;3,87E-08;si:ch73-190f9,4
ENSDARG00000112109;169,594005;2,244180098;0,473285983;20,83042351;5,02E-06;8,58E-05;si:dkey-58b18,5
ENSDARG00000100024;18,64899374;2,242650441;0,673202408;10,89423028;0,000964643;NA;hist1h2a6
ENSDARG00000078649;40,40121731;2,242366953;0,520206678;17,90082006;2,33E-05;0,000299105;il21r,2
ENSDARG00000099580;2045,089733;2,239860881;0,365708224;34,29443051;4,74E-09;2,57E-07;CR762480,1
ENSDARG00000117396;1134,864031;2,239209256;0,300055534;51,10110523;8,77E-13;1,50E-10;CABZ01054023,1
ENSDARG00000098551;30,87261708;2,236519518;0,65025471;12,2729714;0,000459566;0,003530983;CABZ01085700,1
ENSDARG00000042637;1623,659332;2,228218205;0,270018548;61,9995921;3,44E-15;9,80E-13;tert
ENSDARG00000101743;2493,268408;2,215948783;0,28068949;57,17099965;4,00E-14;8,87E-12;C5H11orf1
ENSDARG00000078558;888,1630468;2,213638038;0,326985448;42,17194412;8,36E-11;8,39E-09;si:dkey-22i16,10
ENSDARG00000092104;715,8677221;2,212610196;0,273778172;60,44461834;7,57E-15;2,03E-12;BX571955,1
ENSDARG00000071386;15,64586107;2,21119505;1,202012434;2,969803338;0,084832167;NA;si:dkey-21e2,3
ENSDARG00000112170;1153,09777;2,21066558;0,313061631;45,84999116;1,28E-11;1,59E-09;klhl10b,2
ENSDARG00000010482;371,0017095;2,203394271;0,447288796;22,36782104;2,25E-06;4,47E-05;prg4a
ENSDARG00000116558;44,41889507;2,202482882;0,515211959;17,71020395;2,57E-05;0,00032466;pimr81
ENSDARG00000068372;517,7713928;2,201154989;1,247209551;2,781895874;0,095335254;0,221604573;zgc:158427
ENSDARG00000041947;20627,82799;2,199956133;0,183734168;131,4149614;2,01E-30;3,09E-27;styk1b
ENSDARG00000037246;425,789548;2,194099934;0,353140248;35,64015827;2,37E-09;1,49E-07;pimr212
ENSDARG00000112678;311,3047768;2,192153209;0,362122862;33,6367562;6,64E-09;3,36E-07;CT033790,1
ENSDARG00000057410;20,39578209;2,191682667;0,871731709;5,766962753;0,016330235;0,059539363;rxfp3
ENSDARG00000068941;131,6046266;2,187309046;0,300472795;50,7908834;1,03E-12;1,74E-10;zgc:113983
ENSDARG00000013134;12,05204176;2,182409203;1,168138019;3,523831964;0,060492435;NA;prph2la
ENSDARG00000056652;33,05419218;2,179635235;1,127684471;3,020096295;0,082238583;0,199703744;zmp:0000001102
ENSDARG00000095607;1934,72632;2,178812485;0,416524703;25,14665469;5,31E-07;1,35E-05;si:ch211-209f23,3
ENSDARG00000105409;19,91988722;2,176173047;0,786323896;7,33717688;0,006754283;0,029918858;hist1h4l
ENSDARG00000096759;368,0456613;2,175094443;0,447744559;21,82390367;2,99E-06;5,61E-05;BX255913,2
ENSDARG00000104625;142,2131052;2,171992228;0,452586294;21,60936989;3,34E-06;6,17E-05;pimr168
ENSDARG00000039756;106,8745335;2,170682377;0,606970114;11,91119264;0,000557977;0,004118577;prop1
ENSDARG00000057025;35,95948487;2,168299698;0,977411508;4,684238396;0,030440555;0,095381231;chrna2b
ENSDARG00000117667;2936,925864;2,16580763;0,439957472;22,26328361;2,38E-06;4,69E-05;CABZ01052527,1
ENSDARG00000105478;31,62288598;2,162609515;0,620196067;12,00839949;0,000529613;0,003943245;si:ch1073-153i20,5
ENSDARG00000116503;808,1150416;2,154190199;0,390363572;28,11771959;1,14E-07;3,80E-06;FQ378040,1
ENSDARG00000094676;990,0898129;2,147460628;0,426410891;23,18985344;1,47E-06;3,14E-05;CR769772,2
ENSDARG00000041462;955,5521391;2,145355307;0,215999054;91,76787794;9,75E-22;8,04E-19;pimr183
ENSDARG00000114981;755,5769984;2,143675437;0,386258321;28,47445503;9,49E-08;3,25E-06;AL845320,2
ENSDARG00000115311;48,86494052;2,140302647;0,9394005;4,955028387;0,026014898;0,085346358;pimr159
ENSDARG00000005216;24,4411934;2,136851732;0,650095512;10,31024795;0,001322935;0,008260208;zgc:158328
ENSDARG00000042723;54,09710099;2,129644978;1,086415135;2,796319103;0,094480985;0,220283952;gfra2a
ENSDARG00000068994;449,8271363;2,125731668;0,31301983;42,93798055;5,65E-11;6,13E-09;pimr129
ENSDARG00000105538;29,13369205;2,123969245;0,709752397;8,618972033;0,003326795;0,017071489;BX914219,1
ENSDARG00000110809;40,01335521;2,123316473;0,719053288;8,221935389;0,004138704;0,020285972;hist1h2a3
ENSDARG00000071695;364,4810901;2,122484112;0,399493636;25,83126349;3,73E-07;1,02E-05;pimr193
ENSDARG00000112706;209,0401573;2,121483015;0,420360408;23,41664114;1,30E-06;2,86E-05;pimr152
ENSDARG00000111230;60,0471685;2,118124737;0,675260419;9,073947937;0,002592767;0,013942386;pimr152
ENSDARG00000093878;1204,641866;2,113127306;0,266346338;58,34259619;2,20E-14;5,24E-12;pimr69
ENSDARG00000096663;4055,005658;2,107580035;0,39640288;26,05806602;3,31E-07;9,19E-06;si:dkey-249p7,4
ENSDARG00000117596;94,27127606;2,106319065;0,477393285;18,42713992;1,77E-05;0,000236624;CR450687,1
