gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000010482;466,9307708;-3,559833027;0,467382298;40,97178507;1,54E-10;3,29E-06;prg4a
ENSDARG00000071553;33,46522853;6,969730411;1,377302079;39,8866073;2,69E-10;3,29E-06;zgc:171500
ENSDARG00000100614;20,84194163;7,605103121;1,511583095;29,77437856;4,85E-08;0,000396122;zgc:171497
ENSDARG00000111096;50,81947418;7,738965268;1,538211288;28,4305185;9,71E-08;0,000594485;CR354547,2
ENSDARG00000061391;70,69562245;-2,812028013;0,496364165;26,01640936;3,39E-07;0,001657703;grhl1
ENSDARG00000071644;208,8050876;3,899556582;0,788426433;23,95366973;9,87E-07;0,004026884;si:dkey-19a16,7
ENSDARG00000093205;201,5362691;-9,490480996;1,885339684;21,2625659;4,00E-06;0,014007519;AL845362,1
ENSDARG00000052242;699,6878149;-1,973722382;0,406259473;18,497979;1,70E-05;0,046270559;aff2
ENSDARG00000095066;10,09958651;6,788595782;1,633179364;18,71804532;1,52E-05;0,046270559;BX088713,1
ENSDARG00000055539;934,0159322;2,870054146;0,680103677;17,6336298;2,68E-05;0,052234925;epdl2
ENSDARG00000061480;242,5986032;-1,716823327;0,386330808;17,76420796;2,50E-05;0,052234925;si:ch211-132b12,1
ENSDARG00000079332;50,71149787;-2,37842136;0,523766705;18,0538437;2,15E-05;0,052234925;AL928650,1
ENSDARG00000094271;450,1447415;-3,87224033;0,684682014;17,56709573;2,77E-05;0,052234925;si:ch73-222f22,2
ENSDARG00000070991;81,46412812;2,370387586;0,607411543;16,75925551;4,24E-05;0,0650552;mlpha
ENSDARG00000090612;21,15650558;4,78875854;1,276997822;16,75576974;4,25E-05;0,0650552;FO904898,3
ENSDARG00000099428;1747,007699;2,186339245;0,541334987;16,88782348;3,97E-05;0,0650552;si:dkey-15h8,17
ENSDARG00000093844;64144,77914;-7,928148176;1,520437233;16,51516813;4,83E-05;0,069509265;zgc:136461
ENSDARG00000053517;553,0374551;1,389968792;0,356817724;15,9579473;6,48E-05;0,088095199;EML5
ENSDARG00000056551;111,5385407;3,537438798;0,887277558;15,41129295;8,65E-05;0,105856561;slc22a13a
ENSDARG00000089312;94,04643701;-6,010054994;1,439140967;15,49354671;8,28E-05;0,105856561;si:ch73-106l15,4
ENSDARG00000112275;1321,428435;-2,048412316;0,491207039;14,96269784;0,000109658;0,127850329;AL935186,7
ENSDARG00000012539;2958,94108;-6,522564598;1,346611409;14,45931226;0,00014322;0,143122214;dnase1
ENSDARG00000052578;9510,165569;-6,294444359;1,393349758;14,54581029;0,000136793;0,143122214;c6ast4
ENSDARG00000056744;104888,6665;-6,917056653;1,483349103;14,4213189;0,000146139;0,143122214;ela2
ENSDARG00000112844;51,71535454;5,315765552;1,403004789;14,65335964;0,000129204;0,143122214;si:dkey-65b13,8
ENSDARG00000030915;86076,08299;-7,272195681;1,486302788;14,2978597;0,000156042;0,146943739;cpa1
ENSDARG00000102116;10,09560715;6,185395829;1,695665407;14,15349664;0,000168484;0,152783491;CABZ01072487,2
ENSDARG00000010146;12409,86619;-6,696590439;1,467027827;13,76363317;0,000207311;0,163032638;cpa2
ENSDARG00000013856;223907,7352;-7,151258484;1,500424265;13,76338621;0,000207338;0,163032638;amy2a
ENSDARG00000042993;515060,6178;-5,905935636;1,323696252;13,60397416;0,000225707;0,163032638;prss1
ENSDARG00000068680;277605,5249;-6,721102825;1,414345947;13,9238559;0,000190367;0,163032638;ctrl
ENSDARG00000069518;207,6671906;-4,102779258;0,929325242;13,55171808;0,000232079;0,163032638;aqp3b
ENSDARG00000074547;217381,9799;-7,453524522;1,552638448;13,68881342;0,000215736;0,163032638;si:ch211-240l19,8
ENSDARG00000077058;35114,19407;-7,533637608;1,558036952;13,54383279;0,000233056;0,163032638;cela1,5
ENSDARG00000100972;318,3400379;-4,191331555;1,009649986;13,68889585;0,000215726;0,163032638;myh11b
ENSDARG00000093384;418,7028482;-5,587079461;1,342979896;13,41650403;0,00024942;0,16861286;si:ch211-150d5,3
ENSDARG00000096975;216,5157372;-5,274144933;1,31050321;13,37643032;0,000254806;0,16861286;si:dkeyp-93a5,3
