gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000040553;1196,567618;3,618017448;0,250872424;154,3909414;1,90E-35;4,54E-31;tmem97
ENSDARG00000088067;903,282122;6,378754774;0,449805427;130,2551874;3,60E-30;4,30E-26;pimr187
ENSDARG00000068288;245,5257538;-4,771490501;0,50976896;98,4469256;3,34E-23;2,66E-19;lamc2
ENSDARG00000106138;1852,290297;-3,810517717;0,415972829;94,94234879;1,96E-22;1,17E-18;BX855618,1
ENSDARG00000028087;2162,597328;1,975799536;0,198630718;81,21549699;2,02E-19;9,66E-16;aldh2,2
ENSDARG00000054619;411,1713874;-2,900074908;0,352160355;80,50610411;2,90E-19;1,15E-15;fras1
ENSDARG00000079403;286,8305127;-3,997260745;0,487434906;75,87877159;3,02E-18;1,03E-14;si:dkey-204l11,1
ENSDARG00000114180;132,0735191;5,124746837;0,574584937;72,97679969;1,31E-17;3,92E-14;FP236812,2
ENSDARG00000075261;1236,994631;-1,964130932;0,243451023;72,43214725;1,73E-17;4,59E-14;timp2b
ENSDARG00000098197;449,8034496;3,506534161;0,356209707;69,64380709;7,10E-17;1,70E-13;CU633999,1
ENSDARG00000088831;196,6122187;-3,336053655;0,464353702;61,59470865;4,22E-15;9,16E-12;si:dkey-81j8,6
ENSDARG00000111790;89,92759283;4,472828218;0,565975332;57,93094885;2,71E-14;5,40E-11;zgc:194418
ENSDARG00000075480;95,55024445;-4,371639382;0,602417508;57,76077239;2,96E-14;5,44E-11;si:dkey-63d15,12
ENSDARG00000104588;115,211329;3,946508931;0,49084959;54,72344387;1,39E-13;2,37E-10;zgc:112234
ENSDARG00000056036;174,9716858;-2,73010042;0,406231288;52,69270485;3,90E-13;6,21E-10;stxbp1b
ENSDARG00000042637;1350,453189;2,83369421;0,338972825;52,33975831;4,67E-13;6,97E-10;tert
ENSDARG00000089362;327,865276;-2,306236418;0,339289231;52,04184591;5,43E-13;7,63E-10;grn1
ENSDARG00000045413;114,8326478;-2,45188485;0,363685076;51,59048555;6,84E-13;9,07E-10;gcm2
ENSDARG00000041462;721,8470341;2,340446867;0,302073532;47,6038117;5,22E-12;6,23E-09;pimr183
ENSDARG00000090670;1527,938501;3,270732924;0,392500373;47,7030496;4,96E-12;6,23E-09;si:dkey-201i6,8
ENSDARG00000096979;58,07827153;-3,48800402;0,550400623;46,20219131;1,07E-11;1,21E-08;NPC2
ENSDARG00000015016;236,7604687;-3,07837046;0,496428542;45,8785494;1,26E-11;1,31E-08;kif26ab
ENSDARG00000068515;344,4440094;1,885960128;0,258141262;45,89307048;1,25E-11;1,31E-08;chs1
ENSDARG00000096906;182,5627131;-3,942555778;0,61966251;45,36135696;1,64E-11;1,63E-08;si:dkey-7i4,24
ENSDARG00000074873;49,92383747;5,572794123;0,923158723;44,41966537;2,65E-11;2,53E-08;pimr170
ENSDARG00000030250;624,7821368;2,35574786;0,308468719;43,80449519;3,63E-11;3,33E-08;dennd2db
ENSDARG00000117171;160,4218136;2,95699066;0,401773485;43,30554598;4,68E-11;4,14E-08;pimr118
ENSDARG00000097187;344,0829835;-2,317003121;0,371484607;42,2544028;8,01E-11;6,83E-08;si:ch211-153l6,6
ENSDARG00000105400;33,41262466;9,142053084;1,849234916;40,96806478;1,55E-10;1,27E-07;CU457819,3
ENSDARG00000110483;139,5755656;3,67458297;0,507414898;40,91536075;1,59E-10;1,27E-07;si:dkey-199f5,4
ENSDARG00000008026;314,8426873;-1,917246226;0,319999728;39,9657222;2,58E-10;1,99E-07;niban2b
ENSDARG00000040528;411,2143526;-1,908269994;0,324928783;39,10819226;4,01E-10;2,98E-07;lgals3bpb
ENSDARG00000091144;716,4915042;-3,549954241;0,608414273;39,05823323;4,11E-10;2,98E-07;CR749162,1
ENSDARG00000076667;15432,11525;-1,432341183;0,242439287;38,61253869;5,17E-10;3,63E-07;ccng1
ENSDARG00000018846;2281,570038;-2,814605848;0,487521709;38,55515876;5,32E-10;3,63E-07;dgat2
ENSDARG00000096840;174,5611802;2,526086117;0,363439102;38,3600884;5,88E-10;3,90E-07;CU929206,1
ENSDARG00000105088;712,0246605;-1,822402895;0,316401022;38,19455345;6,40E-10;4,13E-07;tenm4
ENSDARG00000062235;3716,016444;1,612676916;0,240015263;37,88841944;7,49E-10;4,70E-07;lrrc34
ENSDARG00000076025;203,1616777;-1,68770759;0,289898683;37,83889544;7,68E-10;4,70E-07;dgkzb
