NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	189	-0.52694285	-3.0640798	0.0	0.0	0.0	3482	tags=62%, list=28%, signal=84%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	153	-0.461153	-2.633056	0.0	0.0	0.0	2027	tags=46%, list=16%, signal=54%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	135	-0.43545416	-2.3968832	0.0	0.0	0.0	1997	tags=41%, list=16%, signal=49%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	163	-0.407527	-2.3670938	0.0	0.0	0.0	2809	tags=48%, list=22%, signal=61%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	-0.4530352	-2.3649554	0.0	0.0	0.0	2915	tags=52%, list=23%, signal=67%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	54	-0.4953934	-2.3346229	0.0	0.0	0.0	3626	tags=61%, list=29%, signal=85%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	-0.4193034	-2.2914908	0.0	0.0	0.0	3247	tags=53%, list=26%, signal=71%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	44	-0.4904431	-2.1799397	0.0	0.0	0.0	2607	tags=52%, list=21%, signal=66%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	179	-0.36973882	-2.16386	0.0	0.0	0.0	3482	tags=52%, list=28%, signal=71%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	92	-0.40567368	-2.097963	0.0	0.0	0.0	2830	tags=47%, list=22%, signal=60%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	-0.3541622	-2.0062366	0.0	0.0	0.0	3340	tags=52%, list=26%, signal=70%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.3393726	-1.9428356	0.0	6.5625E-4	0.002	3000	tags=44%, list=24%, signal=57%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	162	-0.30005684	-1.7108384	0.0	0.0043750005	0.011	3267	tags=47%, list=26%, signal=63%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	132	-0.29483864	-1.6648434	0.0	0.008817641	0.024	3743	tags=49%, list=30%, signal=69%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	152	-0.2808011	-1.6139622	0.008130081	0.011840067	0.035	2654	tags=34%, list=21%, signal=42%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	176	-0.2711225	-1.598845	0.0	0.012470801	0.041	2790	tags=36%, list=22%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	156	-0.26689547	-1.5485241	0.0	0.01636237	0.058	2567	tags=36%, list=20%, signal=45%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	82	-0.30024517	-1.5433215	0.0054945056	0.016896134	0.064	3012	tags=30%, list=24%, signal=40%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	-0.25378734	-1.494007	0.0	0.02315493	0.092	2380	tags=33%, list=19%, signal=40%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	106	-0.26091483	-1.4127427	0.0	0.037971742	0.157	3018	tags=38%, list=24%, signal=49%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		24	-0.36808282	-1.4059825	0.044067796	0.03937841	0.169	3580	tags=58%, list=28%, signal=81%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		130	-0.24756183	-1.404396	0.016260162	0.03758848	0.169	2409	tags=31%, list=19%, signal=38%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		190	-0.23883176	-1.3843098	0.0	0.041690435	0.199	2650	tags=31%, list=21%, signal=38%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		57	-0.29334384	-1.3560108	0.05022831	0.051968165	0.25	3531	tags=44%, list=28%, signal=61%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		153	-0.2336927	-1.3447753	0.03305785	0.056143597	0.275	1814	tags=27%, list=14%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		179	-0.22264776	-1.2701476	0.018518519	0.09864759	0.447	2232	tags=26%, list=18%, signal=31%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		170	-0.2143506	-1.2692916	0.028037382	0.09564571	0.449	3000	tags=34%, list=24%, signal=44%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		130	-0.21753815	-1.2135257	0.057377048	0.13796228	0.583	3349	tags=37%, list=27%, signal=50%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		136	-0.213593	-1.1995457	0.136	0.14831811	0.619	2545	tags=30%, list=20%, signal=37%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		32	-0.28362632	-1.174448	0.18275861	0.17190874	0.696	727	tags=22%, list=6%, signal=23%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		89	-0.21958137	-1.1466191	0.15873016	0.2003866	0.759	2441	tags=30%, list=19%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		169	-0.18827483	-1.1034632	0.22429906	0.26250002	0.852	2171	tags=25%, list=17%, signal=30%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		63	-0.21217409	-1.0078963	0.41262135	0.46429422	0.962	3618	tags=43%, list=29%, signal=60%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		97	-0.1393541	-0.73834205	0.9836956	0.9807839	1.0	3830	tags=41%, list=30%, signal=59%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		50	-0.14925233	-0.6881493	0.97235024	0.97769463	1.0	3417	tags=38%, list=27%, signal=52%	
