NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	189	-0.51557404	-2.9045796	0.0	0.0	0.0	3724	tags=63%, list=30%, signal=89%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	153	-0.4514544	-2.4909182	0.0	0.0	0.0	2362	tags=48%, list=19%, signal=58%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	-0.48021537	-2.4150317	0.0	0.0	0.0	2965	tags=52%, list=24%, signal=68%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	135	-0.4244076	-2.2902277	0.0	0.0	0.0	2402	tags=45%, list=19%, signal=55%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	163	-0.40490863	-2.2742536	0.0	0.0	0.0	3321	tags=52%, list=27%, signal=70%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	-0.41477674	-2.2262416	0.0	0.0	0.0	2951	tags=45%, list=24%, signal=59%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	179	-0.39258236	-2.1978893	0.0	0.0	0.0	3337	tags=51%, list=27%, signal=68%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.39378583	-2.151478	0.0	5.5555557E-4	0.001	4055	tags=61%, list=33%, signal=90%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	53	-0.44693494	-1.9871427	0.0	0.0010696256	0.003	4381	tags=64%, list=35%, signal=98%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	-0.39508688	-1.9746443	0.0	9.6266303E-4	0.003	2781	tags=44%, list=22%, signal=57%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	150	-0.34422705	-1.899174	0.0	0.0020783893	0.006	3590	tags=49%, list=29%, signal=68%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	44	-0.44200402	-1.8721187	0.0	0.0023699338	0.008	2809	tags=50%, list=23%, signal=64%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	175	-0.3116931	-1.735771	0.0	0.0052570645	0.02	2151	tags=30%, list=17%, signal=35%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	160	-0.31417984	-1.730924	0.004149378	0.0060006073	0.023	3425	tags=48%, list=27%, signal=65%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	-0.30072662	-1.6991402	0.0	0.006703242	0.028	2709	tags=36%, list=22%, signal=46%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	153	-0.3053864	-1.6928365	0.0	0.0064509558	0.029	2962	tags=38%, list=24%, signal=49%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	132	-0.3069855	-1.6233827	0.0	0.011285435	0.053	3443	tags=43%, list=28%, signal=59%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	154	-0.29696038	-1.6214604	0.0	0.010658468	0.053	2644	tags=36%, list=21%, signal=45%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	190	-0.28266352	-1.6149766	0.0	0.010900939	0.058	2614	tags=33%, list=21%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	180	-0.28209534	-1.5796608	0.0	0.014084686	0.079	2508	tags=30%, list=20%, signal=37%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		57	-0.3247059	-1.485078	0.036697246	0.028217243	0.171	4172	tags=54%, list=33%, signal=81%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		129	-0.27020654	-1.4628507	0.007874016	0.031265333	0.192	1902	tags=26%, list=15%, signal=31%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		82	-0.28927296	-1.4524492	0.019305019	0.031886816	0.206	2601	tags=24%, list=21%, signal=31%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		167	-0.2534728	-1.4155326	0.014925373	0.042393208	0.278	3046	tags=35%, list=24%, signal=45%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		105	-0.26625434	-1.3772614	0.032608695	0.053415198	0.348	3590	tags=43%, list=29%, signal=60%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		131	-0.263176	-1.3743838	0.023364486	0.0529486	0.358	3300	tags=34%, list=26%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		149	-0.2447702	-1.3318924	0.02008032	0.06727804	0.455	2168	tags=30%, list=17%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		129	-0.24972366	-1.3270854	0.025	0.0679986	0.467	3312	tags=39%, list=27%, signal=52%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		157	-0.2371773	-1.3110554	0.036697246	0.07378529	0.501	1930	tags=24%, list=15%, signal=28%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		23	-0.34548712	-1.262898	0.15320334	0.10460818	0.639	3296	tags=52%, list=26%, signal=71%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		33	-0.29624695	-1.1634725	0.2419825	0.2094658	0.874	699	tags=21%, list=6%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		89	-0.22284466	-1.1224905	0.20792079	0.26634875	0.934	2058	tags=26%, list=17%, signal=31%	
