NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	106	-0.48914754	-2.117733	0.0	0.0011935483	0.001	2340	tags=44%, list=19%, signal=54%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	-0.5530385	-1.9058187	0.0	0.0017574885	0.003	3314	tags=59%, list=26%, signal=80%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.4101806	-1.9001994	0.0	0.0011716591	0.003	3031	tags=42%, list=24%, signal=55%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	95	-0.4397634	-1.8994815	0.0	8.7874423E-4	0.003	3265	tags=45%, list=26%, signal=61%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	183	-0.3977733	-1.8628061	0.0	0.0018039355	0.008	3933	tags=47%, list=31%, signal=67%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	53	-0.45328942	-1.7243273	0.0067001674	0.008104745	0.042	2505	tags=40%, list=20%, signal=49%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	33	-0.46421868	-1.6169385	0.018932875	0.021715632	0.126	1864	tags=33%, list=15%, signal=39%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	131	-0.35009727	-1.5767224	0.0015797789	0.025871582	0.168	2075	tags=29%, list=17%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	153	-0.33604786	-1.552334	0.0031007752	0.029292366	0.209	3201	tags=39%, list=25%, signal=52%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	153	-0.33726183	-1.5431834	0.0015625	0.029215455	0.231	2718	tags=30%, list=22%, signal=38%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	-0.43656006	-1.5402014	0.032040473	0.028147932	0.246	3692	tags=50%, list=29%, signal=71%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	131	-0.33288166	-1.4980599	0.0062111802	0.039111774	0.343	2526	tags=31%, list=20%, signal=39%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	154	-0.3206245	-1.4758818	0.0031347962	0.04511612	0.407	3489	tags=37%, list=28%, signal=51%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	161	-0.31420588	-1.4526521	0.019323671	0.051415034	0.481	2213	tags=30%, list=18%, signal=36%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	133	-0.32073402	-1.4521978	0.017322835	0.04831066	0.483	1924	tags=29%, list=15%, signal=33%	
