NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	188	-0.57274425	-3.0842502	0.0	0.0	0.0	2381	tags=57%, list=22%, signal=72%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	182	-0.28297275	-1.4601471	0.0	0.14357118	0.097	2369	tags=28%, list=22%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.28612003	-1.4166358	0.015151516	0.120801136	0.126	3027	tags=40%, list=28%, signal=55%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	185	-0.23502736	-1.2152833	0.06451613	0.3443927	0.399	1898	tags=25%, list=17%, signal=30%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	110	-0.24793227	-1.2091212	0.05479452	0.2840636	0.409	1995	tags=35%, list=18%, signal=43%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	44	-0.29890996	-1.1787457	0.18471338	0.2856289	0.475	1179	tags=25%, list=11%, signal=28%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	147	-0.2264501	-1.1522473	0.1	0.29021	0.53	1193	tags=20%, list=11%, signal=22%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	163	-0.22192758	-1.1436201	0.039215688	0.26691824	0.55	1782	tags=19%, list=16%, signal=22%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	-0.21555534	-1.0889714	0.33333334	0.35195085	0.688	2796	tags=39%, list=26%, signal=51%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	169	-0.2011232	-0.98223054	0.5652174	0.58221203	0.902	1281	tags=18%, list=12%, signal=20%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	55	-0.213279	-0.88314617	0.6744186	0.8005572	0.965	2386	tags=25%, list=22%, signal=32%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	104	-0.14591362	-0.72813344	1.0	0.9442519	0.989	1692	tags=13%, list=16%, signal=16%	
