NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	181	0.60283744	2.8136094	0.0	0.0	0.0	3021	tags=64%, list=24%, signal=83%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	187	0.5517397	2.608713	0.0	0.0	0.0	3028	tags=56%, list=24%, signal=72%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	87	0.43691722	1.862314	0.0	0.00129507	0.011	3299	tags=49%, list=26%, signal=66%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	183	0.3774871	1.7941818	0.0	0.0015822402	0.018	3091	tags=39%, list=25%, signal=51%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	55	0.3867379	1.5450274	0.017789073	0.02154523	0.267	4807	tags=53%, list=38%, signal=85%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	139	0.33780786	1.5311505	0.0011235955	0.021028062	0.3	4472	tags=47%, list=35%, signal=73%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	0.40475267	1.4448756	0.053315993	0.042494133	0.569	1243	tags=29%, list=10%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	134	0.2680224	1.2190704	0.12075029	0.26208806	0.997	2725	tags=31%, list=22%, signal=40%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	158	0.20104097	0.9332653	0.632469	1.0	1.0	1844	tags=19%, list=15%, signal=22%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	106	0.19969524	0.87936246	0.72422063	1.0	1.0	4643	tags=38%, list=37%, signal=59%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	133	0.19176528	0.8685869	0.7093023	0.9894794	1.0	2868	tags=26%, list=23%, signal=34%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	182	0.18403757	0.86531466	0.74721605	0.9147532	1.0	5063	tags=42%, list=40%, signal=69%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	0.23102432	0.84028834	0.71849865	0.8954099	1.0	2803	tags=28%, list=22%, signal=36%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	26	0.24391374	0.82355875	0.7355021	0.8614905	1.0	2458	tags=27%, list=19%, signal=33%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	26	0.19078897	0.6413997	0.9332386	0.9831651	1.0	3359	tags=31%, list=27%, signal=42%	
