NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	55	-0.5330222	-2.09176	0.0	0.0	0.0	3824	tags=71%, list=30%, signal=101%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	182	-0.43975553	-2.0751815	0.0	0.0	0.0	4520	tags=60%, list=36%, signal=92%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	106	-0.42493975	-1.858682	0.0	0.0023557795	0.006	3743	tags=50%, list=30%, signal=71%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	155	-0.3497845	-1.631678	0.0026737968	0.027760057	0.085	2223	tags=27%, list=18%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	131	-0.32773113	-1.4769527	0.007022472	0.11653026	0.393	4477	tags=44%, list=36%, signal=67%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	162	-0.31581935	-1.4736695	0.0066755675	0.10026353	0.403	3218	tags=34%, list=26%, signal=45%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	169	-0.3058465	-1.4314586	0.011857707	0.129463	0.53	4141	tags=41%, list=33%, signal=60%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	181	-0.30255324	-1.4256152	0.0078125	0.12057471	0.556	4117	tags=43%, list=33%, signal=62%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	190	-0.2824703	-1.3491592	0.022880215	0.21330114	0.811	3094	tags=32%, list=25%, signal=41%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	-0.30955714	-1.3252128	0.06930693	0.23817044	0.876	3071	tags=34%, list=24%, signal=45%	
