NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	181	0.60283744	2.8607397	0.0	0.0	0.0	3021	tags=64%, list=24%, signal=83%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	187	0.5517397	2.6343966	0.0	0.0	0.0	3028	tags=56%, list=24%, signal=72%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	87	0.43691722	1.8631325	0.0	4.865509E-4	0.004	3299	tags=49%, list=26%, signal=66%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	183	0.3774871	1.779172	0.0	0.0016729897	0.019	3091	tags=39%, list=25%, signal=51%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	139	0.33780786	1.5435296	0.0023584906	0.023397997	0.282	4472	tags=47%, list=35%, signal=73%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	55	0.3867379	1.537671	0.021491783	0.020432884	0.294	4807	tags=53%, list=38%, signal=85%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	0.40475267	1.4390479	0.055397727	0.046604607	0.597	1243	tags=29%, list=10%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	134	0.2680224	1.2260238	0.11893764	0.25335848	0.998	2725	tags=31%, list=22%, signal=40%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	158	0.20104097	0.9397199	0.6116173	0.980893	1.0	1844	tags=19%, list=15%, signal=22%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	106	0.19969524	0.8881639	0.67654026	1.0	1.0	4643	tags=38%, list=37%, signal=59%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	133	0.19176528	0.8847525	0.69874	0.945854	1.0	2868	tags=26%, list=23%, signal=34%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	182	0.18403757	0.8718749	0.73655325	0.8961663	1.0	5063	tags=42%, list=40%, signal=69%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	0.23102432	0.8388374	0.7171582	0.8968766	1.0	2803	tags=28%, list=22%, signal=36%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	26	0.24391374	0.81109357	0.73426574	0.8829332	1.0	2458	tags=27%, list=19%, signal=33%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	26	0.19078897	0.645775	0.91608393	0.981525	1.0	3359	tags=31%, list=27%, signal=42%	
