Column1;gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
150;ENSDARG00000079456;32,72012628;-3,236764008;0,779859133;15,74643869;7,24E-05;0,007845467;si:ch211-149a19,3
7;ENSDARG00000094965;252,11002;-2,798254711;0,297498447;81,13672705;2,11E-19;5,00E-16;nfil3-5
399;ENSDARG00000074739;53,70745301;-2,506473164;0,773768097;9,63104196;0,00191316;0,07791214;slitrk3b
419;ENSDARG00000104730;194,0895647;-2,426786968;0,745330706;9,374959869;0,002199695;0,085305125;si:dkey-33b17,3
271;ENSDARG00000079340;53,27427211;-2,384311796;0,673927381;11,76419204;0,000603811;0,036204143;slc47a4
224;ENSDARG00000062874;28,4759517;-2,30205527;0,628950878;12,81403749;0,000344028;0,024955878;hcar1-3
1;ENSDARG00000052377;1463,109549;-2,232884484;0,150904103;203,3999338;3,78E-46;6,15E-42;psmd12
292;ENSDARG00000075012;48,74815646;-1,946483295;0,567077899;11,3055084;0,000772775;0,043002804;glra2
324;ENSDARG00000053558;25,08749537;-1,91946591;0,58303058;10,65038699;0,001100479;0,055190369;rtkn2a
421;ENSDARG00000061517;37,75114217;-1,861435138;0,599021927;9,357209264;0,002221101;0,085726049;lrp1bb
167;ENSDARG00000017744;62,34037272;-1,766569865;0,449441769;14,85367615;0,000116181;0,011056568;smc2
183;ENSDARG00000027290;97,27552783;-1,733352058;0,450829362;14,15463914;0,000168381;0,014950979;nrp1b
247;ENSDARG00000074708;39,08800148;-1,728218909;0,489836783;12,21501254;0,000474065;0,03106081;armc3
208;ENSDARG00000001767;60,69840493;-1,693427362;0,457106024;13,18124816;0,000282764;0,022089606;slc29a2
361;ENSDARG00000089292;23,44258943;-1,69256862;0,528462205;10,18537557;0,001415589;0,063717184;adgrl1a
415;ENSDARG00000095909;45,7051768;-1,666196736;0,53914316;9,402107026;0,002167362;0,084851344;BX539325,2
