Column1;gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
9;ENSDARG00000079274;45608,28886;-3,62028206;0,35000851;89,53728056;3,01E-21;5,90E-18;prss59,1
8;ENSDARG00000074547;16300,55946;-3,37713369;0,327959122;90,78547321;1,60E-21;3,53E-18;si:ch211-240l19,8
2;ENSDARG00000056744;10704,4686;-3,37051398;0,255155312;149,0817094;2,75E-34;2,43E-30;ela2
4;ENSDARG00000010146;891,4173131;-3,03479338;0,24505881;137,1442752;1,12E-31;4,95E-28;cpa2
18;ENSDARG00000090428;68323,80832;-3,02343071;0,35923798;62,47067256;2,70E-15;2,65E-12;ctrb1
948;ENSDARG00000090930;16,09321397;-3,00617853;1,008959067;7,994827998;0,004691116;0,087389348;si:ch211-120g10,1
285;ENSDARG00000075826;22,74335662;-2,99956730;0,787149409;13,78665001;0,000204786;0,012689562;msh4
13;ENSDARG00000029822;21319,13239;-2,99877864;0,310200868;81,91671743;1,42E-19;1,93E-16;cel,2
42;ENSDARG00000039393;570,3761988;-2,98034568;0,445685737;40,10931554;2,40E-10;1,01E-07;si:ch211-240l19,5
12;ENSDARG00000017490;22712,33533;-2,93160125;0,297590859;86,37424926;1,49E-20;2,19E-17;cel,1
15;ENSDARG00000074613;2048,596912;-2,90376052;0,331970377;68,46390702;1,29E-16;1,52E-13;si:ch211-240l19,6
603;ENSDARG00000053708;21,14129914;-2,89865046;0,866336648;10,21562915;0,001392555;0,040780107;ghrhrb
22;ENSDARG00000073742;53640,10837;-2,86768426;0,373760572;52,69744239;3,89E-13;3,12E-10;prss59,2
7;ENSDARG00000013856;11772,12641;-2,86514308;0,277623346;93,71987542;3,63E-22;9,17E-19;amy2a
509;ENSDARG00000028393;17,33407138;-2,86232954;0,814530193;11,09734107;0,000864516;0,029878618;daam2
5;ENSDARG00000043173;2356,040538;-2,85076720;0,253744061;112,7754982;2,42E-26;8,53E-23;cela1,3
308;ENSDARG00000098720;13,63899091;-2,82248688;0,789070786;13,45169394;0,000244785;0,014035403;LPL
35;ENSDARG00000090814;106,0632583;-2,76539697;0,413799795;42,86222946;5,87E-11;2,96E-08;si:dkey-18a10,3
11;ENSDARG00000043175;2152,368979;-2,71090286;0,276437217;86,74133549;1,24E-20;1,99E-17;cela1,1
121;ENSDARG00000040907;119,6733516;-2,64655003;0,549152223;21,45249646;3,63E-06;0,000529367;gcgb
641;ENSDARG00000102142;13,34396678;-2,63102326;0,839836262;9,959979921;0,001599798;0,044075558;ece2b
21;ENSDARG00000043168;1361,916674;-2,61001601;0,330719176;56,34141012;6,09E-14;5,12E-11;cela1,5
6;ENSDARG00000024032;1835,237468;-2,59752433;0,242670569;105,6021991;9,01E-25;2,65E-21;coch
14;ENSDARG00000030915;4839,341322;-2,58018893;0,291880487;71,31299866;3,05E-17;3,85E-14;cpa1
20;ENSDARG00000045835;1825,147886;-2,57458132;0,325059159;57,73141706;3,00E-14;2,65E-11;si:dkey-14d8,6
31;ENSDARG00000024503;5145,092969;-2,53949275;0,354682266;46,22458153;1,05E-11;6,01E-09;c6ast3
62;ENSDARG00000062780;53,55724127;-2,52647417;0,465620034;29,37651728;5,96E-08;1,70E-05;aifm3
34;ENSDARG00000017314;124060,2393;-2,48477622;0,363191619;43,13370219;5,11E-11;2,66E-08;cela1,6
241;ENSDARG00000093844;4170,877467;-2,48191058;0,614060094;15,02448675;0,000106125;0,007776644;zgc:136461
227;ENSDARG00000096791;26,51063518;-2,48169995;0,631319857;15,45027502;8,47E-05;0,006599143;si:ch73-344o19,1
117;ENSDARG00000103277;131,3945666;-2,47978719;0,515241733;21,9467187;2,80E-06;0,000424995;cyp24a1
16;ENSDARG00000009153;1109,197312;-2,47916439;0,292267754;66,00259301;4,50E-16;4,97E-13;pla2g1b
47;ENSDARG00000095462;1152,952899;-2,44862555;0,394257539;35,86335396;2,12E-09;7,95E-07;cela1,2
584;ENSDARG00000003293;13,57721993;-2,38691508;0,743511666;10,40330469;0,0012579;0,03803855;sox9a
1000;ENSDARG00000087249;40,57808372;-2,38441845;0,789522918;7,7433624;0,005391033;0,095205636;znf1011
340;ENSDARG00000078547;91,29039841;-2,35254974;0,632577011;12,93061098;0,000323252;0,016790103;si:ch211-264f5,2
280;ENSDARG00000062156;65,09326573;-2,34693012;0,615884498;13,9226736;0,000190487;0,012030022;abi3bpa
30;ENSDARG00000040282;9863,647017;-2,33785529;0,331912591;46,31220708;1,01E-11;5,94E-09;zgc:92590
598;ENSDARG00000054456;17,96528453;-2,32562670;0,729119747;10,25376812;0,001364057;0,040283018;clip3
436;ENSDARG00000070141;17,04735537;-2,31510638;0,674586838;11,83241572;0,000582084;0,023577083;si:ch211-191i18,2
108;ENSDARG00000088171;40,59075833;-2,29483109;0,470744545;23,15297108;1,50E-06;0,000244643;ciartb
82;ENSDARG00000076313;765,2113684;-2,28103773;0,433666984;25,85309846;3,68E-07;7,93E-05;si:ch211-240l19,7
53;ENSDARG00000103311;64,79474331;-2,27168672;0,394104223;33,38034228;7,58E-09;2,53E-06;fbln1
133;ENSDARG00000074602;34,03889941;-2,26899000;0,504759688;20,19908817;6,98E-06;0,000912907;mrvi1
56;ENSDARG00000090469;2774,89247;-2,23454805;0,389050378;31,09510728;2,46E-08;7,75E-06;sycn,1
17;ENSDARG00000012539;326,2898844;-2,20370283;0,268252178;64,59054882;9,22E-16;9,58E-13;dnase1
622;ENSDARG00000077087;19,09554116;-2,17682904;0,6896793;10,07968357;0,001499131;0,042495424;si:ch211-196g2,4
158;ENSDARG00000021789;52,04855091;-2,15069532;0,492831393;18,76610526;1,48E-05;0,001651659;myoc
852;ENSDARG00000044204;836,4566801;-2,10777235;0,700667767;8,559227161;0,003437753;0,071256717;endou
139;ENSDARG00000056084;56,05031661;-2,09103127;0,465775504;19,89994895;8,16E-06;0,001036763;igsf21b
432;ENSDARG00000044010;37,12911768;-2,08740105;0,60063682;11,89657342;0,000562373;0,022989601;loxl2a
38;ENSDARG00000056885;241,3951416;-2,08324060;0,319431138;41,28256977;1,32E-10;6,00E-08;per1a
93;ENSDARG00000039436;50,13862515;-2,06177254;0,421864296;24,09503653;9,17E-07;0,000174124;il13ra2
26;ENSDARG00000068680;26315,10073;-2,05318032;0,283403169;49,36042026;2,13E-12;1,39E-09;ctrl
115;ENSDARG00000075958;48,33863858;-2,04642403;0,428249339;22,03870095;2,67E-06;0,000410339;si:dkey-266f7,9
740;ENSDARG00000000551;33,60778056;-2,03041783;0,651253934;9,192383481;0,002430242;0,057997404;slc1a4
373;ENSDARG00000060350;36,58694655;-2,03037933;0,564123606;12,5280539;0,000400887;0,01892959;apoda,2
777;ENSDARG00000102100;17,89457943;-2,02487101;0,677736192;8,960180449;0,002759276;0,062757135;mrc1a
724;ENSDARG00000102343;29,4189118;-2,01134334;0,628947378;9,301412784;0,002289772;0,055852729;si:dkey-243k1,3
81;ENSDARG00000101195;48,6508954;-2,00183647;0,389906057;25,88932238;3,62E-07;7,88E-05;cyp1c1
19;ENSDARG00000033160;720,6165192;-1,99180731;0,247253429;62,03111096;3,38E-15;3,14E-12;nr1d1
77;ENSDARG00000042993;79832,0207;-1,96482051;0,372209143;26,63721199;2,45E-07;5,63E-05;prss1
80;ENSDARG00000021339;54917,01443;-1,94997685;0,372289206;26,16876575;3,13E-07;6,91E-05;cpa5
329;ENSDARG00000061196;44,60758256;-1,94534565;0,536193171;13,13147632;0,000290376;0,015586742;emilin2a
49;ENSDARG00000106158;73,43186291;-1,93884632;0,323986592;35,40849018;2,67E-09;9,63E-07;TP53I3
214;ENSDARG00000098805;84,73408076;-1,92694105;0,477612777;15,90838334;6,65E-05;0,005486449;vwa11
218;ENSDARG00000014098;45,5973943;-1,89837750;0,471446298;15,63668546;7,68E-05;0,006224747;pkd2
76;ENSDARG00000039730;13697,55396;-1,87938509;0,354608836;26,83821389;2,21E-07;5,14E-05;zgc:112160
256;ENSDARG00000079876;30,40184785;-1,86404939;0,492744;14,58124105;0,000134244;0,009260759;C2CD4C
95;ENSDARG00000103687;1879,130132;-1,85061484;0,370413793;24,02486586;9,51E-07;0,00017809;sycn,2
1023;ENSDARG00000098799;21,25823696;-1,85023517;0,670088175;7,666647549;0,005625087;0,097105613;si:ch211-194m7,5
143;ENSDARG00000089839;65,67500272;-1,83207240;0,410061551;19,71868245;8,97E-06;0,00110801;BX296541,1
869;ENSDARG00000088293;18,45299145;-1,83025676;0,63619427;8,432284782;0,003686169;0,074859984;doc2b
820;ENSDARG00000053724;18,03537878;-1,80932832;0,616959524;8,700455527;0,003181305;0,068514455;adcyap1r1a
438;ENSDARG00000044574;28,81117383;-1,80472618;0,526019748;11,79065726;0,000595287;0,024000275;rbms3
424;ENSDARG00000039434;22,94966559;-1,79769132;0,522306241;11,98241948;0,000537048;0,02236856;oprm1
46;ENSDARG00000056765;46358,93388;-1,76942925;0,287638946;35,94470064;2,03E-09;7,79E-07;ela2l
402;ENSDARG00000075397;42,66454418;-1,75905757;0,503323772;12,15924109;0,000488452;0,021221671;cipca
74;ENSDARG00000117361;138,3718633;-1,75851552;0,331657224;27,10907171;1,92E-07;4,59E-05;FO818704,2
565;ENSDARG00000086222;24,56904591;-1,73811595;0,529438755;10,5322754;0,001173077;0,03666644;nat16
106;ENSDARG00000055026;66,7400776;-1,73618615;0,357229127;23,32239736;1,37E-06;0,00022824;ptch2
85;ENSDARG00000007276;37701,80688;-1,72911208;0,337580488;25,27089085;4,98E-07;0,000103502;ela3l
974;ENSDARG00000074531;28,98685625;-1,71883414;0,612060968;7,870874041;0,005023736;0,091012409;spag9a
52;ENSDARG00000045442;41130,81524;-1,71843716;0,291310065;33,3869888;7,55E-09;2,53E-06;cpb1
936;ENSDARG00000098995;35,30867404;-1,71452663;0,604471758;8,055777802;0,004535877;0,085641045;cyp2k6
666;ENSDARG00000056101;26,61739087;-1,71246876;0,550282582;9,756878208;0,00178653;0,047301535;kcnd3
638;ENSDARG00000040944;161,893669;-1,69177198;0,526394911;9,977262269;0,001584852;0,043869088;ntd5
422;ENSDARG00000117669;480,6954526;-1,68783895;0,480367748;12,03529259;0,000522026;0,021857077;CABZ01087025,3
651;ENSDARG00000036848;129,0436523;-1,68218546;0,527083963;9,846152905;0,001701873;0,046167552;slc43a2a
631;ENSDARG00000088595;29,96627935;-1,67873109;0,530745946;10,02477242;0,001544488;0,043260698;crispld2
332;ENSDARG00000074309;31,3990405;-1,65312423;0,4600402;13,03432091;0,000305834;0,016176094;cnnm4b
87;ENSDARG00000104210;82,02136201;-1,65222581;0,331093887;24,95666304;5,86E-07;0,000119019;si:ch73-173h19,3
637;ENSDARG00000093629;259,7895227;-1,64857909;0,510066182;9,981500239;0,001581208;0,043836944;si:ch211-106h4,4
159;ENSDARG00000099812;59,02063419;-1,61443931;0,373224608;18,74964508;1,49E-05;0,001655498;si:dkey-31f5,11
130;ENSDARG00000043474;57,94547097;-1,60983557;0,357793776;20,54927067;5,81E-06;0,000789483;atp2b3a
901;ENSDARG00000101449;18,38514019;-1,60765170;0,56299953;8,20234635;0,004183625;0,082090167;grik5
269;ENSDARG00000074914;72,92270251;-1,58178752;0,421079171;14,14408398;0,000169329;0,011116526;CU929346,1
310;ENSDARG00000103109;58,62662742;-1,55781860;0,425961978;13,41249438;0,000249954;0,014239304;chl1b
3;ENSDARG00000079166;16742,951;-1,55652492;0,127401657;142,0337335;9,56E-33;5,63E-29;ace
165;ENSDARG00000117518;77,66474252;-1,54468296;0,360621734;18,35742993;1,83E-05;0,001959763;CABZ01067169,1
192;ENSDARG00000018721;78,00556796;-1,53006755;0,370876663;16,71835221;4,34E-05;0,003988173;npnta
478;ENSDARG00000038784;67,97164458;-1,52613971;0,44915044;11,41720919;0,000727669;0,02688418;faim2a
808;ENSDARG00000104989;24,32268786;-1,51935007;0,50935091;8,793754933;0,003022635;0,066064019;wnk2
65;ENSDARG00000043171;292,3705932;-1,51516615;0,280392111;28,31155831;1,03E-07;2,81E-05;cela1,4
200;ENSDARG00000005356;52,57725739;-1,51351249;0,374578085;16,42693752;5,06E-05;0,004464587;tyro3
23;ENSDARG00000060671;2301,366794;-1,50262191;0,20743359;51,53539511;7,03E-13;5,40E-10;lct
804;ENSDARG00000020656;27,23932228;-1,49262707;0,493301759;8,819161721;0,002980836;0,065474576;prkg1a
697;ENSDARG00000102795;40,72655048;-1,48510019;0,477567014;9,547303426;0,002002434;0,050735983;CU681842,1
498;ENSDARG00000040621;43,05916093;-1,48415184;0,444408761;11,26188408;0,000791149;0,028055594;lrrc32
683;ENSDARG00000099685;34,97820411;-1,48240876;0,480450125;9,668552795;0,001874489;0,048467757;gnb5a
836;ENSDARG00000077304;39,00689953;-1,47653250;0,50499759;8,630955392;0,003304982;0,069826402;erg
733;ENSDARG00000079618;65,43482545;-1,47007325;0,482060054;9,21652295;0,002398406;0,057549795;sik2a
319;ENSDARG00000098215;43,98195944;-1,46435118;0,399181833;13,29327859;0,000266359;0,014745784;BICD2
119;ENSDARG00000109929;99,15131156;-1,46386622;0,312546621;21,58799351;3,38E-06;0,000501545;CABZ01058721,1
150;ENSDARG00000005780;129,7323554;-1,46107108;0,33169752;19,20928068;1,17E-05;0,001379158;npy8br
366;ENSDARG00000042232;71,46998482;-1,45657379;0,410207779;12,58360925;0,000389144;0,018776754;specc1lb
649;ENSDARG00000004227;46,60102881;-1,45364957;0,465376405;9,859098737;0,001689939;0,045985082;pde3a
648;ENSDARG00000060745;40,66862632;-1,44852413;0,464341146;9,870827942;0,001679199;0,045763363;pgm5
60;ENSDARG00000044954;155,2349535;-1,44700457;0,262597172;29,66583351;5,13E-08;1,51E-05;slit1a
104;ENSDARG00000100582;455,4326956;-1,43773922;0,290740856;23,60872911;1,18E-06;0,000200459;si:ch211-195b11,3
128;ENSDARG00000060123;99,00297055;-1,43232678;0,314280352;20,70758509;5,35E-06;0,000743009;ca16b
469;ENSDARG00000061541;40,5064538;-1,43105571;0,422553655;11,49181728;0,000699033;0,026364107;unc5db
783;ENSDARG00000114583;42,93622957;-1,42971667;0,479457283;8,923125714;0,002815822;0,063508829;BX890543,1
433;ENSDARG00000102501;37,43135203;-1,42795995;0,416671042;11,89152105;0,000563901;0,022998807;hoxa5a
