Column1;gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
208;ENSDARG00000056012;66,54757522;-8,4667197289;1,831673825;16,87263963;4,00E-05;0,003252652;eve1
859;ENSDARG00000092131;83,83926944;-4,0397643701;1,224393414;8,873878679;0,002892799;0,056793568;AL954694,1
147;ENSDARG00000045070;23,61860024;-2,9175592376;0,660586597;19,59080182;9,59E-06;0,001100453;itgb3b
894;ENSDARG00000035862;31,20177158;-2,8827082718;0,948013097;8,646256186;0,003277341;0,061748121;insl3
450;ENSDARG00000101084;28,71690321;-2,7506125648;0,749934633;12,12091283;0,000498595;0,018682258;CABZ01069184,1
118;ENSDARG00000079274;49678,47832;-2,6924023363;0,542673692;21,12740507;4,30E-06;0,000612453;prss59,1
582;ENSDARG00000090319;28,96154106;-2,6910689611;0,791432693;10,76469595;0,001034546;0,029975158;rnf212
67;ENSDARG00000074547;17673,87941;-2,6086979601;0,473750571;26,59200854;2,51E-07;6,41E-05;si:ch211-240l19,8
912;ENSDARG00000094561;33,38179836;-2,5992554418;0,862758953;8,556310449;0,003443266;0,063666432;si:ch211-139a5,9
299;ENSDARG00000028393;17,22660551;-2,5885883009;0,685525536;14,65667531;0,000128977;0,007274047;daam2
78;ENSDARG00000004227;41,08456769;-2,5208535737;0,499623235;24,44807559;7,63E-07;0,000165041;pde3a
149;ENSDARG00000013856;12497,61385;-2,4401937568;0,516643544;19,52086891;9,95E-06;0,001126161;amy2a
350;ENSDARG00000092499;20,06187147;-2,4044080315;0,660429048;13,49327686;0,00023942;0,011502378;si:ch211-183d21,1
387;ENSDARG00000060875;24,48848926;-2,3916926317;0,66738701;12,87072197;0,000333763;0,014545236;pde1a
595;ENSDARG00000054456;18,03892088;-2,3873832005;0,731810744;10,58029413;0,001142995;0,032377138;clip3
163;ENSDARG00000056744;11901,35275;-2,3406673129;0,512973064;18,70732774;1,52E-05;0,001576594;ela2
