Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Crebbp,Cbp,"CREB binding protein","Acetylates histones, giving a specific tag for transcriptional activation. Also acetylates non-histone proteins, like DDX21, FBL, IRF2, MAFG, NCOA3, POLR1E/PAF53 and FOXO1. Binds specifically to phosphorylated CREB and enhances its transcriptional activity toward cAMP-responsive genes.",others,"Mus musculus","CREB-Binding protein acetylates hematopoietic transcription factor GATA-1 at functionally important sites",10.1126/science.1102652,mmu04935,"Growth hormone synthesis, secretion and action",12914
Csf3,"Csf; Csfg","colony stimulating factor 3","Granulocyte/macrophage colony-stimulating factors are cytokines that act in hematopoiesis by controlling the production, differentiation, and function of 2 related white cell populations of the blood, the granulocytes and the monocytes-macrophages.","senescence-associated secretory phenotype","Mus musculus","The Ovarian Transcriptome of Reproductively Aged Multiparous Mice: Candidate Genes for Ovarian Cancer Protection",10.3390/biom10010113,unknown,Unknown,12985
Csnk1e,CKIepsilon,"casein kinase 1, epsilon","Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. Can phosphorylate a large number of proteins. Participates in Wnt signaling. Phosphorylates DVL1. Central component of the circadian clock. In balance with PP1, determines the circadian period length, through the regulation of the speed and rhythmicity of PER1 and PER2 phosphorylation. Controls PER1 and PER2 nuclear transport and degradation. Inhibits cytokine-induced granuloytic differentiation.","loss of proteostasis","Mus musculus","Nuclear entry of the circadian regulator mPER1 is controlled by mammalian casein kinase I epsilon",10.1126/science.1102653,mmu04310,"Wnt signaling pathway",27373
Ctf1,Ct1,"cardiotrophin 1","Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Functions in axon guidance during development. Involved in the guidance of commissural axons, that form a major interhemispheric connection between the 2 temporal lobes of the cerebral cortex. Also involved in guidance of contralateral inner ear efferent growth cones at the midline and of retinal ganglion cell axons to the optic disk.",others,"Mus musculus","Nuk controls pathfinding of commissural axons in the mammalian central nervous system",10.1126/science.1102654,mmu04630,"JAK-STAT signaling pathway",13019
Cxcl1,"Gro1; KC","chemokine (C-X-C motif) ligand 1","Has chemotactic activity for neutrophils. Contributes to neutrophil activation during inflammation. Hematoregulatory chemokine, which, in vitro, suppresses hematopoietic progenitor cell proliferation.","senescence-associated secretory phenotype","Mus musculus","Infiltrating macrophages contribute to age-related neuroinflammation in C57/BL6 mice",10.1016/j.mad.2018.05.003,mmu04064,"NF-kappa B signaling pathway",14825
Cxcl2,"CINC-2a; GROb","chemokine (C-X-C motif) ligand 2","Chemotactic for human polymorphonuclear leukocytes but does not induce chemokinesis or an oxidative burst.","senescence-associated secretory phenotype","Mus musculus","Long-term every-other-day administration of DMAMCL has little effect on aging and age-associated physiological decline in mice",10.18632/aging.101932,mmu04064,"NF-kappa B signaling pathway",20310
Cxcl5,"AMCF, AMCF-II","chemokine (C-X-C motif) ligand 5","May participate in the recruitment of inflammatory cells by injured or infected tissue. GCP-2(1-78) and, more potent, GCP-2(9-78) attract neutrophils and are involved in neutrophil activation.","senescence-associated secretory phenotype","Mus musculus","CXCL5-CXCR2 signaling is a senescence-associated secretory phenotype in preimplantation embryos",10.1111/acel.13240,unknown,Unknown,20311
Cyld,"CDMT; CYLD1; EAC","CYLD lysine 63 deubiquitinase","The tumor suppressor CYLD, similarly to other renowned tumor suppressor genes, protects from premature aging and cancer.","NF-κB related gene","Mus musculus","Premature aging and cancer development in transgenic mice lacking functional CYLD",10.18632/aging.101732,mmu04064,"NF-kappa B signaling pathway",74256
Dbn1,Dos117e,"drebrin 1","DBN1 is thought to be involved in neuronal growth. In a mouse model of Alzheimer's disease, DBN1 levels were found to decline with age.","loss of proteostasis","Mus musculus","Docosahexaenoic Acid Protects From Dendritic Pathology in an Alzheimer's Disease Mouse Model",10.1126/science.1102655,unknown,Unknown,56320
Ddit3,"Chop10; Gadd153; Chop","DNA-damage inducible transcript 3","DDIT3 prevents transcription in response to DNA damage. It also appears to be related to apoptosis.","genomic instability","Mus musculus","Expression of the Pro-Apoptotic Gene gadd153/chop Is Elevated in Liver With Aging and Sensitizes Cells to Oxidant Injury",10.1126/science.1102656,mmu04010,"MAPK signaling pathway",13198
Dgat1,"Diglyceride Acyltransferase","diacylglycerol O-acyltransferase 1","Catalyzes the terminal and only committed step in triacylglycerol synthesis by using diacylglycerol and fatty acyl CoA as substrates. In contrast to DGAT2 it is not essential for survival. May be involved in VLDL (very low density lipoprotein) assembly. In liver, plays a role in esterifying exogenous fatty acids to glycerol.",others,"Mus musculus","Retinol esterification by DGAT1 is essential for retinoid homeostasis in murine skin",10.1126/science.1102657,unknown,Unknown,13350
Dll3,Scdo1,"delta like canonical Notch ligand 3","DLL3 is a member of the Notch pathway involved in development. In mice, Notch signalling, including DLL3, has been linked to regeneration in the liver. DLL3 has also been linked to development and neurogenesis.","stem cell exhaustion","Mus musculus","Novel Mutations in DLL3, a Somitogenesis Gene Encoding a Ligand for the Notch Signalling Pathway, Cause a Consistent Pattern of Abnormal Vertebral Segmentation in Spondylocostal Dysostosis",10.1126/science.1102658,mmu04330,"Notch signaling pathway",13389
E2f1,"Rbp3; Rbbp3","E2F transcription factor 1","An important regulator of the cell cycle, E2F1 may mediate apoptosis in conjunction with?TP53.","genomic instability","Mus musculus","Reverse Expression of Aging-Associated Molecules Through Transfection of miRNAs to Aged Mus musculus",10.1126/science.1102659,mmu04218,"Cellular senescence",13555
Eda2r,"TNFRSF27; Xed; Xedar","ectodysplasin A2 receptor","High glucose increases EDA2R expression in kidney cells and that EDA2R induces podocyte apoptosis and dedifferentiation in high glucose milieu partially through enhanced ROS generation.","NF-κB related gene","Mus musculus","EDA2R mediates podocyte injury in high glucose milieu",10.1016/j.biochi.2020.04.003,mmu04064,"NF-kappa B signaling pathway",245527
Eef1a1,"Ee1a1; Ef1a; Eef1a","eukaryotic translation elongation factor 1 alpha 1","EEF1A1 is involved in the binding of tRNA to ribosomes during protein synthesis.","genomic instability","Mus musculus","Apoptosis Rate Can Be Accelerated or Decelerated by Overexpression or Reduction of the Level of Elongation factor-1 Alpha",10.1126/science.1102660,unknown,Unknown,13627
Eef1e1,"Eukaryotic Translation Elongation Factor 1 Epsilon-1","eukaryotic translation elongation factor 1 epsilon 1","Positive modulator of ATM response to DNA damage.","genomic instability","Mus musculus","The haploinsufficient tumor suppressor p18 upregulates p53 via interactions with ATM/ATR",10.1126/science.1102661,unknown,Unknown,66143
Eef2,Ef-2,"eukaryotic translation elongation factor 2","Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome.","loss of proteostasis","Mus musculus","Memory Decline and Behavioral Inflexibility in Aged Mice Are Correlated With Dysregulation of Protein Synthesis Capacity",10.1126/science.1102662,unknown,Unknown,13629
Efemp1,Fibulin-3,"epidermal growth factor-containing fibulin-like extracellular matrix protein 1","Binds EGFR, the EGF receptor, inducing EGFR autophosphorylation and the activation of downstream signaling pathways. May play a role in cell adhesion and migration. May function as a negative regulator of chondrocyte differentiation. In the olfactory epithelium, it may regulate glial cell migration, differentiation and the ability of glial cells to support neuronal neurite outgrowth.","altered intercellular communication","Mus musculus","subtractive gene expression screen suggests a role of transcription factor AP-2 alpha in control of proliferation and differentiation",10.1126/science.1102663,unknown,Unknown,216616
Egf,Beta-Urogastrone,"epidermal growth factor","Growth factor that mediates its effects via EGFR, ERBB2 and ERBB4. Required for normal cardiac valve formation and normal heart function. Promotes smooth muscle cell proliferation. May be involved in macrophage-mediated cellular proliferation. It is mitogenic for fibroblasts, but not endothelial cells. It is able to bind EGF receptor/EGFR with higher affinity than EGF itself and is a far more potent mitogen for smooth muscle cells than EGF. Also acts as a diphtheria toxin receptor.","cellular senescence","Mus musculus","Heparin-binding EGF-like growth factor: characterization of rat and mouse cDNA clones, protein domain conservation across species, and transcript expression in tissues",10.1126/science.1102664,mmu04010,"MAPK signaling pathway",13645
Egfr,"Erb-B2 Receptor Tyrosine Kinase 1","epidermal growth factor receptor","Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses.","cellular senescence","Mus musculus","Promoter region of the murine fibroblast growth factor receptor 2 (bek/KGFR) gene",10.1126/science.1102665,mmu04010,"MAPK signaling pathway",13649
Egr1,"Tis8; G0s30; Ngfi-a","early growth response 1","An important regulator of the cell cycle, EGR1 has been suggested to act upstream of ageing-related genes such as TP53. It also appears to be pro-apoptotic.","cellular senescence","Mus musculus","Age-associated Up-Regulation of EGR1 Promotes Granulosa Cell Apoptosis During Follicle Atresia in Mice Through the NF-κB Pathway",10.1126/science.1102666,mmu04912,"GnRH signaling pathway",13653
