GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYY4	BCL9	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D219|ensembl:ENSMUSP00000046152	9606	Ensembl		P
UniProtKB	A0A024QYY6	FMO5	involved_in	GO:0090181	regulation of cholesterol metabolic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97872|ensembl:ENSMUSP00000102665	9606	Ensembl		P
UniProtKB	A0A024QYY7	ULK2	involved_in	GO:0042594	response to starvation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000908760	9606	UniProt		P
UniProtKB	A0A024QZ08	IFT20	involved_in	GO:0072089	stem cell proliferation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61025|ensembl:ENSMUSP00000118015	9606	Ensembl		P
UniProtKB	A0A024QZ26	HDAC6	involved_in	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2V5|ensembl:ENSMUSP00000033501	9606	Ensembl		P
UniProtKB	A0A024QZ26	HDAC6	involved_in	GO:0006511	ubiquitin-dependent protein catabolic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2V5|ensembl:ENSMUSP00000033501	9606	Ensembl		P
UniProtKB	A0A024QZ86	TBX2	involved_in	GO:0060379	cardiac muscle cell myoblast differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q60707|ensembl:ENSMUSP00000000095	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0097352	autophagosome maturation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:1901096	regulation of autophagosome maturation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0016236	macroautophagy	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0016243	regulation of autophagosome size	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0032228	regulation of synaptic transmission, GABAergic	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0010506	regulation of autophagy	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		P
