Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
TERC,"PFBMFT2; DKCA1","telomerase RNA component","Telomerase RNA component,involved in telomere maintenance as template in telomeric DNA synthesis,transcription up-regulated by endogeneous TERT.","telomere attrition","Homo sapiens","HuR Regulates Telomerase Activity Through TERC Methylation",10.1038/s41467-018-04617-7,unknown,Unknown,7012
TERF1,"PIN2; TRF1; TRF","telomeric repeat binding factor (NIMA-interacting) 1","TRF1 is an essential component of shelterin, with important roles in telomere protection and telomere replication.","telomere attrition","Homo sapiens","Control of human telomere length by TRF1 and TRF2",10.1128/mcb.20.5.1659-1668.2000,unknown,Unknown,7013
TERF2,"TRF2; TRBF2","telomeric repeat binding factor 2","TRF2 is essential for telomere capping owing to its roles in suppressing an ATM-dependent DNA damage response (DDR) at chromosome ends and inhibiting end-to-end chromosome fusions.","telomere attrition","Homo sapiens","TRF2 recruits the Werner syndrome (WRN) exonuclease for processing of telomeric DNA",10.1038/sj.onc.1206906,unknown,Unknown,7014
TERT,"HEST2; TCS1","telomerase reverse transcriptase","Telomerase is a ribonucleoprotein enzyme essential for the replication of chromosome termini in most eukaryotes.","telomere attrition","Homo sapiens","GWAS of Epigenetic Aging Rates in Blood Reveals a Critical Role for TERT",10.1038/s41467-017-02697-5,unknown,Unknown,7015
XRCC5,"KU80; KARP-1; Ku86","X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)","The DNA repair protein Ku (a heterodimer of Ku70 and Ku80 subunits) associates with mammalian telomeres and contributes to telomere maintenance.","telomere attrition","Homo sapiens","Human Ku70/80 Associates Physically With Telomerase Through Interaction With hTERT",10.1074/jbc.M208542200,unknown,Unknown,7520
MED1,"PBP; TRAP220; RB18A","mediator complex subunit 1","MED1 is involved in embryonic development and important for?SP1?activity.","stem cell exhaustion","Homo sapiens","Roles of PPARs in Health and Disease",10.1038/35013000,unknown,Unknown,5469
MAPK3,"ERK1; p44mapk; p44erk1","mitogen-activated protein kinase 3","It is?involved in stress response signalling and maybe in cell cycle control.","stem cell exhaustion","Homo sapiens","Influence of Aging and Calorie Restriction on MAPKs Activity in Rat Kidney",10.1016/s0531-5565(02)00082-7,hsa04910,"Insulin signaling pathway",5595
MAPK9,"JNK2; p54a; SAPK","mitogen-activated protein kinase 9","Also called JNK2, MAPK9 encodes many transcripts and is an important player in stress response. Mice without MAPK8 and MAPK9 die at embryonic stages.","stem cell exhaustion","Homo sapiens","JNK Regulates Lifespan in Caenorhabditis Elegans by Modulating Nuclear Translocation of Forkhead Transcription factor/DAF-16",10.1073/pnas.0500749102,hsa04910,"Insulin signaling pathway",5601
YWHAZ,"KCIP-1; 14-3-3-zeta; YWHAD","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","YWHAZ interacts with so many proteins, including many associated with ageing such as the?INS/IGF1?pathway, may be involved in stem cell development.","stem cell exhaustion","Homo sapiens","Proteomic Analysis Identifies That 14-3-3zeta Interacts With Beta-Catenin and Facilitates Its Activation by Akt",10.1073/pnas.0406499101,hsa04110,"Cell cycle",7534
NOG,"SYNS1; SYM1",noggin,"NOG may be a factor in bone ageing. Essential for cartilage morphogenesis and joint formation.","stem cell exhaustion","Homo sapiens","Impaired Osteoblastic Differentiation, Reduced Bone Formation, and Severe Osteoporosis in Noggin-Overexpressing Mice",10.1172/JCI15543,hsa04350,"TGF-beta signaling pathway",9241
